Scenario,Plan_Type,uke_aar,uke_nr,Ko_Lengde_P5,Ko_Lengde_P50,Ko_Lengde_P95,Lenker_I_Ko_P5,Lenker_I_Ko_P50,Lenker_I_Ko_P95,Lenker_Overfort_P5,Lenker_Overfort_P50,Lenker_Overfort_P95,Kommuner_Overfort_P5,Kommuner_Overfort_P50,Kommuner_Overfort_P95,N
Basis_85,MIP_vektet,2026,18,62.0,62.0,62.0,281347.7,281902.0,282150.0,759.0,1007.0,1561.2999999999997,0.0,0.0,0.0,500
Basis_85,MIP_vektet,2026,19,60.0,60.0,61.0,273598.6,277011.5,283423.35,4554.85,6043.0,9369.8,1.0,2.0,2.0,500
Basis_85,MIP_vektet,2026,20,58.95,61.0,64.0,276973.75,301398.5,331965.3,8350.75,11079.0,17178.299999999996,2.0,3.0,5.0,500
Basis_85,MIP_vektet,2026,21,61.0,64.0,66.0,314259.65,351339.0,387557.14999999997,12146.65,16114.5,24985.799999999996,4.0,5.0,7.0,500
Basis_85,MIP_vektet,2026,22,64.0,68.0,71.0,360776.25,404795.0,447087.75,15942.5,21151.0,32794.299999999996,5.0,6.0,8.0,500
Basis_85,MIP_vektet,2026,23,67.0,71.0,75.0,407518.4,452993.0,499003.25,19738.4,26186.5,40601.84999999999,5.0,8.0,10.0,500
Basis_85,MIP_vektet,2026,24,71.0,76.0,80.0,457969.15,507303.5,559020.2,23533.3,31222.5,48410.29999999999,6.0,8.0,12.0,500
Basis_85,MIP_vektet,2026,25,76.0,81.0,86.0,511013.15,568338.0,626511.7,27329.2,36258.0,56218.79999999999,8.0,10.0,12.0,500
Basis_85,MIP_vektet,2026,26,81.0,87.0,93.0,575392.2,631737.0,692683.7,31125.1,41294.5,64026.34999999999,8.0,10.0,16.0,500
Basis_85,MIP_vektet,2026,27,87.0,94.0,100.0,631180.15,699059.5,766336.6,34920.95,46330.0,71834.79999999999,9.0,12.0,17.0,500
Basis_85,MIP_vektet,2026,28,93.0,102.0,110.0,695565.35,769377.5,845200.2999999999,38716.85,51366.0,79642.34999999999,10.0,12.0,19.0,500
Basis_85,MIP_vektet,2026,29,100.0,111.0,121.0,770980.1,852694.5,935036.1499999998,42512.7,56401.5,87450.84999999999,11.0,12.0,21.0,500
Basis_85,MIP_vektet,2026,30,109.0,122.0,134.0,848542.15,941750.5,1034850.2999999999,46308.6,61438.0,95259.29999999999,12.0,14.0,24.0,500
Basis_85,MIP_vektet,2026,31,120.0,134.5,148.0,933369.2,1037069.0,1138464.9,50104.45,66473.5,103066.84999999998,12.0,16.0,26.0,500
Basis_85,MIP_vektet,2026,32,132.0,148.0,163.0,1026766.3,1135697.0,1238209.8499999999,53899.4,71509.5,110875.34999999998,12.0,17.0,27.0,500
Basis_85,MIP_vektet,2026,33,145.95,163.0,177.0,1117156.25,1234065.5,1326832.45,57695.3,76545.5,118682.84999999998,13.0,18.0,29.0,500
Basis_85,MIP_vektet,2026,34,160.95,177.0,190.0,1214794.1,1324512.5,1412528.8,61491.15,81581.5,126491.34999999998,14.0,20.0,30.0,500
Basis_85,MIP_vektet,2026,35,171.0,187.0,198.0,1295870.25,1388187.5,1477324.05,65287.05,86617.0,134299.84999999998,16.0,21.0,31.0,500
Basis_85,MIP_vektet,2026,36,178.0,192.5,204.0,1351752.65,1438663.0,1518803.2,69082.9,91653.0,142107.34999999998,16.0,22.0,33.0,500
Basis_85,MIP_vektet,2026,37,186.95,199.0,211.04999999999995,1406652.65,1495192.5,1582205.0,72878.8,96689.0,149915.84999999998,17.0,24.0,34.0,500
Basis_85,MIP_vektet,2026,38,193.95,207.0,221.0,1466975.2,1562753.0,1658552.3,76674.7,101725.0,157723.39999999997,18.0,25.0,36.0,500
Basis_85,MIP_vektet,2026,39,201.0,215.0,230.0,1516521.65,1613469.0,1707474.45,80470.55,106760.5,165531.84999999998,19.0,26.0,37.0,500
Basis_85,MIP_vektet,2026,40,207.0,223.0,240.0,1553835.55,1660082.5,1758448.45,84266.45,111796.5,173340.34999999998,20.0,27.0,38.0,500
