uke_aar,uke_nr,Ko_Lengde_Kommuner,Lenker_I_Ko,Lenker_Overfort_Hittil,Kommuner_Overfort_Hittil
2026,18,62,281409.0,1500.0,0
2026,19,60,273909.0,9000.0,2
2026,20,62,342243.0,16500.0,5
2026,21,66,425662.0,24000.0,7
2026,22,70,475118.0,31500.0,8
2026,23,73,532065.0,39000.0,10
2026,24,79,592289.0,46500.0,12
2026,25,90,678204.0,54000.0,12
2026,26,100,739188.0,61500.0,14
2026,27,106,792176.0,69000.0,16
2026,28,110,827530.0,76500.0,18
2026,29,114,872401.0,84000.0,20
2026,30,116,897871.0,91500.0,22
2026,31,120,966428.0,99000.0,24
2026,32,122,1002602.0,106500.0,26
2026,33,125,1036869.0,114000.0,28
2026,34,127,1061470.0,121500.0,30
2026,35,133,1109463.0,129000.0,31
2026,36,139,1152667.0,136500.0,31
2026,37,144,1183213.0,144000.0,33
2026,38,151,1206596.0,151500.0,34
2026,39,151,1237798.0,159000.0,36
2026,40,153,1259705.0,166500.0,37
2026,41,156,1275144.0,174000.0,38
2026,42,158,1300707.0,181500.0,39
2026,43,161,1324963.0,189000.0,40
2026,44,161,1367232.0,196500.0,44
2026,45,171,1404263.0,204000.0,44
2026,46,174,1447261.0,211500.0,45
2026,47,177,1477520.0,219000.0,46
2026,48,179,1510229.0,226500.0,48
2026,49,185,1540960.0,234000.0,48
2026,50,191,1590548.0,241500.0,51
2026,51,197,1604970.0,249000.0,51
2026,52,211,1649639.0,256500.0,53
2026,53,213,1658093.0,264000.0,54
2027,1,215,1685370.0,271500.0,55
2027,2,219,1726096.0,279000.0,58
2027,3,221,1747419.0,286500.0,62
2027,4,225,1793252.0,294000.0,63
2027,5,225,1795349.0,301500.0,64
2027,6,227,1818430.0,309000.0,65
2027,7,231,1851810.0,316500.0,65
2027,8,233,1852995.0,324000.0,66
2027,9,234,1859248.0,331500.0,66
2027,10,239,1912982.0,339000.0,66
2027,11,243,1931846.0,346500.0,66
2027,12,249,1955311.0,354000.0,66
2027,13,248,1947811.0,361500.0,67
2027,14,251,1996632.0,369000.0,67
2027,15,252,1996973.0,376500.0,67
2027,16,253,1998140.0,384000.0,68
2027,17,253,2000025.0,391500.0,69
2027,18,256,2009713.0,399000.0,69
2027,19,259,2021914.0,406500.0,69
2027,20,262,2037080.0,414000.0,69
2027,21,263,2049473.0,421500.0,70
2027,22,267,2075232.0,429000.0,71
2027,23,269,2071666.0,436500.0,71
2027,24,275,2128745.0,444000.0,72
2027,25,274,2121245.0,451500.0,73
2027,26,275,2141692.0,459000.0,73
2027,27,275,2136653.0,466500.0,74
2027,28,278,2134057.0,474000.0,74
2027,29,279,2128289.0,481500.0,74
2027,30,278,2120789.0,489000.0,75
2027,31,277,2113289.0,496500.0,76
2027,32,276,2105789.0,504000.0,77
2027,33,276,2109248.0,511500.0,78
2027,34,275,2101748.0,519000.0,79
2027,35,276,2098764.0,526500.0,79
2027,36,277,2095479.0,534000.0,79
2027,37,277,2089464.0,541500.0,80
2027,38,277,2081964.0,549000.0,80
2027,39,276,2074464.0,556500.0,81
2027,40,275,2066964.0,564000.0,82
2027,41,274,2059464.0,571500.0,83
2027,42,273,2051964.0,579000.0,84
