uke_aar,uke_nr,Ko_Lengde_Kommuner,Lenker_I_Ko,Lenker_Overfort_Hittil,Kommuner_Overfort_Hittil
2026,18,62,279159.0,3750.0,0
2026,19,56,260409.0,22500.0,6
2026,20,57,317493.0,41250.0,10
2026,21,59,389662.0,60000.0,14
2026,22,59,427868.0,78750.0,19
2026,23,59,473565.0,97500.0,24
2026,24,63,522539.0,116250.0,28
2026,25,71,597204.0,135000.0,31
2026,26,79,646938.0,153750.0,35
2026,27,84,688676.0,172500.0,38
2026,28,86,712780.0,191250.0,42
2026,29,89,746401.0,210000.0,45
2026,30,90,760621.0,228750.0,48
2026,31,93,817928.0,247500.0,51
2026,32,93,842852.0,266250.0,55
2026,33,91,865869.0,285000.0,62
2026,34,93,879220.0,303750.0,64
2026,35,98,915963.0,322500.0,66
2026,36,104,947917.0,341250.0,66
2026,37,110,967213.0,360000.0,67
2026,38,117,979346.0,378750.0,68
2026,39,118,999298.0,397500.0,69
2026,40,120,1009955.0,416250.0,70
2026,41,123,1014144.0,435000.0,71
2026,42,124,1028457.0,453750.0,73
2026,43,127,1041463.0,472500.0,74
2026,44,129,1072482.0,491250.0,76
2026,45,137,1098263.0,510000.0,78
2026,46,140,1130011.0,528750.0,79
2026,47,143,1149020.0,547500.0,80
2026,48,145,1170479.0,566250.0,82
2026,49,149,1189960.0,585000.0,84
2026,50,156,1228298.0,603750.0,86
2026,51,160,1231470.0,622500.0,88
2026,52,173,1264889.0,641250.0,91
2026,53,173,1262093.0,660000.0,94
2027,1,174,1278120.0,678750.0,96
2027,2,179,1307596.0,697500.0,98
2027,3,182,1317669.0,716250.0,101
2027,4,186,1352252.0,735000.0,102
2027,5,184,1343099.0,753750.0,105
2027,6,182,1354930.0,772500.0,110
2027,7,183,1377060.0,791250.0,113
2027,8,185,1366995.0,810000.0,114
2027,9,184,1361998.0,828750.0,116
2027,10,185,1404482.0,847500.0,120
2027,11,186,1412096.0,866250.0,123
2027,12,190,1424311.0,885000.0,125
2027,13,188,1405561.0,903750.0,127
2027,14,189,1443132.0,922500.0,129
2027,15,187,1432223.0,941250.0,132
2027,16,187,1422140.0,960000.0,134
2027,17,186,1412775.0,978750.0,136
2027,18,187,1411213.0,997500.0,138
2027,19,189,1412164.0,1016250.0,139
2027,20,190,1416080.0,1035000.0,141
2027,21,191,1417223.0,1053750.0,142
2027,22,194,1431732.0,1072500.0,144
2027,23,194,1416916.0,1091250.0,146
2027,24,199,1462745.0,1110000.0,148
2027,25,197,1443995.0,1128750.0,150
2027,26,196,1453192.0,1147500.0,152
2027,27,195,1436903.0,1166250.0,154
2027,28,195,1423057.0,1185000.0,157
2027,29,195,1406039.0,1203750.0,158
2027,30,193,1387289.0,1222500.0,160
2027,31,189,1368539.0,1241250.0,164
2027,32,187,1349789.0,1260000.0,166
2027,33,186,1341998.0,1278750.0,168
2027,34,182,1323248.0,1297500.0,172
2027,35,181,1309014.0,1316250.0,174
2027,36,176,1294479.0,1335000.0,180
2027,37,173,1277214.0,1353750.0,184
2027,38,172,1258464.0,1372500.0,185
2027,39,172,1239714.0,1391250.0,185
2027,40,169,1220964.0,1410000.0,188
2027,41,167,1202214.0,1428750.0,190
2027,42,164,1183464.0,1447500.0,193
2027,43,163,1164714.0,1466250.0,194
2027,44,160,1145964.0,1485000.0,197
2027,45,157,1127214.0,1503750.0,200
2027,46,155,1108464.0,1522500.0,202
2027,47,155,1089714.0,1541250.0,202
2027,48,153,1070964.0,1560000.0,204
2027,49,147,1052214.0,1578750.0,210
2027,50,145,1033464.0,1597500.0,212
2027,51,141,1014714.0,1616250.0,216
2027,52,141,995964.0,1635000.0,216
2028,1,139,977214.0,1653750.0,218
2028,2,137,958464.0,1672500.0,220
2028,3,135,939714.0,1691250.0,222
2028,4,132,920964.0,1710000.0,225
2028,5,131,902214.0,1728750.0,226
2028,6,130,883464.0,1747500.0,227
2028,7,126,864714.0,1766250.0,231
2028,8,122,845964.0,1785000.0,235
2028,9,119,827214.0,1803750.0,238
2028,10,117,808464.0,1822500.0,240
2028,11,113,789714.0,1841250.0,244
2028,12,108,770964.0,1860000.0,249
2028,13,105,752214.0,1878750.0,252
2028,14,100,733464.0,1897500.0,257
2028,15,92,714714.0,1916250.0,265
2028,16,89,695964.0,1935000.0,268
2028,17,88,677214.0,1953750.0,269
2028,18,86,658464.0,1972500.0,271
2028,19,84,639714.0,1991250.0,273
2028,20,80,620964.0,2010000.0,277
2028,21,77,602214.0,2028750.0,280
2028,22,73,583464.0,2047500.0,284
2028,23,72,564714.0,2066250.0,285
2028,24,71,545964.0,2085000.0,286
2028,25,68,527214.0,2103750.0,289
2028,26,66,508464.0,2122500.0,291
2028,27,65,489714.0,2141250.0,292
2028,28,63,470964.0,2160000.0,294
2028,29,58,452214.0,2178750.0,299
2028,30,57,433464.0,2197500.0,300
2028,31,55,414714.0,2216250.0,302
2028,32,55,395964.0,2235000.0,302
2028,33,52,377214.0,2253750.0,305
2028,34,50,358464.0,2272500.0,307
2028,35,47,339714.0,2291250.0,310
2028,36,42,320964.0,2310000.0,315
2028,37,41,302214.0,2328750.0,316
2028,38,41,283464.0,2347500.0,316
2028,39,39,264714.0,2366250.0,318
2028,40,36,245964.0,2385000.0,321
2028,41,34,227214.0,2403750.0,323
2028,42,30,208464.0,2422500.0,327
2028,43,27,189714.0,2441250.0,330
2028,44,25,170964.0,2460000.0,332
2028,45,23,152214.0,2478750.0,334
2028,46,21,133464.0,2497500.0,336
2028,47,17,114714.0,2516250.0,340
2028,48,15,95964.0,2535000.0,342
2028,49,14,77214.0,2553750.0,343
2028,50,11,58464.0,2572500.0,346
2028,51,10,39714.0,2591250.0,347
2028,52,4,20964.0,2610000.0,353
2029,1,2,2214.0,2628750.0,355
2029,2,0,0.0,2630964.0,357
