uke_aar,uke_nr,Kartkontor,Timer_Brukt,Kapasitet_Timer_Uke,Utnyttelse
2026,18,Oslo,4.33,21.63,0.2
2026,18,Hamar,3.61,18.03,0.2
2026,18,Skien,5.77,28.85,0.2
2026,18,Kristiansand,4.33,21.63,0.2
2026,18,Stavanger,4.04,20.19,0.2
2026,18,Bergen,5.77,28.85,0.2
2026,18,Molde,3.61,18.03,0.2
2026,18,Trondheim,7.5,37.5,0.2
2026,18,Bodø,3.17,15.87,0.2
2026,18,Tromsø,5.05,25.24,0.2
2026,19,Oslo,21.63,21.63,1.0
2026,19,Hamar,18.03,18.03,1.0
2026,19,Skien,28.85,28.85,1.0
2026,19,Kristiansand,21.63,21.63,1.0
2026,19,Stavanger,20.19,20.19,1.0
2026,19,Bergen,28.85,28.85,1.0
2026,19,Molde,18.03,18.03,1.0
2026,19,Trondheim,37.5,37.5,1.0
2026,19,Bodø,15.87,15.87,1.0
2026,19,Tromsø,25.24,25.24,1.0
2026,20,Oslo,21.63,21.63,1.0
2026,20,Hamar,18.03,18.03,1.0
2026,20,Skien,28.85,28.85,1.0
2026,20,Kristiansand,21.63,21.63,1.0
2026,20,Stavanger,20.19,20.19,1.0
2026,20,Bergen,28.85,28.85,1.0
2026,20,Molde,18.03,18.03,1.0
2026,20,Trondheim,37.5,37.5,1.0
2026,20,Bodø,15.87,15.87,1.0
2026,20,Tromsø,25.24,25.24,1.0
2026,21,Oslo,21.63,21.63,1.0
2026,21,Hamar,18.03,18.03,1.0
2026,21,Skien,28.85,28.85,1.0
2026,21,Kristiansand,21.63,21.63,1.0
2026,21,Stavanger,20.19,20.19,1.0
2026,21,Bergen,28.85,28.85,1.0
2026,21,Molde,18.03,18.03,1.0
2026,21,Trondheim,37.5,37.5,1.0
2026,21,Bodø,15.87,15.87,1.0
2026,21,Tromsø,25.24,25.24,1.0
2026,22,Oslo,21.63,21.63,1.0
2026,22,Hamar,18.03,18.03,1.0
2026,22,Skien,28.85,28.85,1.0
2026,22,Kristiansand,21.63,21.63,1.0
2026,22,Stavanger,20.19,20.19,1.0
2026,22,Bergen,28.85,28.85,1.0
2026,22,Molde,18.03,18.03,1.0
2026,22,Trondheim,37.5,37.5,1.0
2026,22,Bodø,15.87,15.87,1.0
2026,22,Tromsø,25.24,25.24,1.0
2026,23,Oslo,21.63,21.63,1.0
2026,23,Hamar,18.03,18.03,1.0
2026,23,Skien,28.85,28.85,1.0
2026,23,Kristiansand,21.63,21.63,1.0
2026,23,Stavanger,20.19,20.19,1.0
2026,23,Bergen,28.85,28.85,1.0
2026,23,Molde,18.03,18.03,1.0
2026,23,Trondheim,37.5,37.5,1.0
2026,23,Bodø,15.87,15.87,1.0
2026,23,Tromsø,25.24,25.24,1.0
2026,24,Oslo,21.63,21.63,1.0
2026,24,Hamar,18.03,18.03,1.0
2026,24,Skien,28.85,28.85,1.0
2026,24,Kristiansand,21.63,21.63,1.0
2026,24,Stavanger,20.19,20.19,1.0
2026,24,Bergen,28.85,28.85,1.0
2026,24,Molde,18.03,18.03,1.0
2026,24,Trondheim,37.5,37.5,1.0
2026,24,Bodø,15.87,15.87,1.0
2026,24,Tromsø,25.24,25.24,1.0
2026,25,Oslo,21.63,21.63,1.0
2026,25,Hamar,18.03,18.03,1.0
2026,25,Skien,14.25,28.85,0.494
2026,25,Kristiansand,21.63,21.63,1.0
2026,25,Stavanger,20.19,20.19,1.0
2026,25,Bergen,28.85,28.85,1.0
2026,25,Molde,18.03,18.03,1.0
2026,25,Trondheim,37.5,37.5,1.0
2026,25,Bodø,15.87,15.87,1.0
2026,25,Tromsø,25.24,25.24,1.0
2026,26,Oslo,21.63,21.63,1.0
2026,26,Hamar,18.03,18.03,1.0
2026,26,Skien,0.0,28.85,0.0
2026,26,Kristiansand,21.63,21.63,1.0
2026,26,Stavanger,11.57,20.19,0.573
2026,26,Bergen,28.85,28.85,1.0
2026,26,Molde,18.03,18.03,1.0
2026,26,Trondheim,37.5,37.5,1.0
2026,26,Bodø,15.87,15.87,1.0
2026,26,Tromsø,25.24,25.24,1.0
2026,27,Oslo,21.63,21.63,1.0
2026,27,Hamar,18.03,18.03,1.0
2026,27,Skien,0.0,28.85,0.0
2026,27,Kristiansand,21.63,21.63,1.0
2026,27,Stavanger,0.0,20.19,0.0
2026,27,Bergen,28.85,28.85,1.0
2026,27,Molde,4.39,18.03,0.244
2026,27,Trondheim,37.5,37.5,1.0
2026,27,Bodø,15.87,15.87,1.0
2026,27,Tromsø,25.24,25.24,1.0
2026,28,Oslo,21.63,21.63,1.0
2026,28,Hamar,18.03,18.03,1.0
2026,28,Skien,0.0,28.85,0.0
2026,28,Kristiansand,21.63,21.63,1.0
2026,28,Stavanger,0.0,20.19,0.0
2026,28,Bergen,28.85,28.85,1.0
2026,28,Molde,0.0,18.03,0.0
2026,28,Trondheim,37.5,37.5,1.0
2026,28,Bodø,15.87,15.87,1.0
2026,28,Tromsø,25.24,25.24,1.0
2026,29,Oslo,21.63,21.63,1.0
2026,29,Hamar,18.03,18.03,1.0
2026,29,Skien,0.0,28.85,0.0
2026,29,Kristiansand,21.63,21.63,1.0
2026,29,Stavanger,0.0,20.19,0.0
2026,29,Bergen,28.85,28.85,1.0
2026,29,Molde,0.0,18.03,0.0
2026,29,Trondheim,37.5,37.5,1.0
2026,29,Bodø,15.87,15.87,1.0
2026,29,Tromsø,25.24,25.24,1.0
2026,30,Oslo,21.63,21.63,1.0
2026,30,Hamar,18.03,18.03,1.0
2026,30,Skien,0.0,28.85,0.0
2026,30,Kristiansand,21.63,21.63,1.0
2026,30,Stavanger,0.0,20.19,0.0
2026,30,Bergen,28.85,28.85,1.0
2026,30,Molde,0.0,18.03,0.0
2026,30,Trondheim,37.5,37.5,1.0
2026,30,Bodø,15.87,15.87,1.0
2026,30,Tromsø,25.24,25.24,1.0
2026,31,Oslo,21.63,21.63,1.0
2026,31,Hamar,18.03,18.03,1.0
2026,31,Skien,0.0,28.85,0.0
2026,31,Kristiansand,19.55,21.63,0.903
2026,31,Stavanger,0.0,20.19,0.0
2026,31,Bergen,28.85,28.85,1.0
2026,31,Molde,0.0,18.03,0.0
2026,31,Trondheim,37.5,37.5,1.0
2026,31,Bodø,15.87,15.87,1.0
2026,31,Tromsø,25.24,25.24,1.0
2026,32,Oslo,21.63,21.63,1.0
2026,32,Hamar,18.03,18.03,1.0
2026,32,Skien,0.0,28.85,0.0
2026,32,Kristiansand,0.0,21.63,0.0
2026,32,Stavanger,0.0,20.19,0.0
2026,32,Bergen,28.85,28.85,1.0
2026,32,Molde,0.0,18.03,0.0
2026,32,Trondheim,37.5,37.5,1.0
