KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
0301,Oslo,Oslo,Oslo,False,30.63,35397.0,5,21
1101,Eigersund,Stavanger,Stavanger,False,0.15,6942.0,1,9
1103,Stavanger,Stavanger,Stavanger,False,15.98,13831.0,4,17
1106,Haugesund,Stavanger,Stavanger,False,2.82,1601.0,5,25
1108,Sandnes,Stavanger,Stavanger,False,35.68,17326.0,6,27
1111,Sokndal,Stavanger,Stavanger,False,0.06,2134.0,2,13
1112,Lund,Stavanger,Stavanger,False,0.1,2758.0,2,13
1114,Bjerkreim,Stavanger,Stavanger,False,0.22,7158.0,1,9
1119,Hå,Stavanger,Stavanger,False,14.53,6268.0,2,12
1120,Klepp,Stavanger,Stavanger,False,5.17,3414.0,4,20
1121,Time,Stavanger,Stavanger,False,12.28,5798.0,3,16
1122,Gjesdal,Stavanger,Stavanger,False,19.68,5779.0,1,9
1124,Sola,Stavanger,Bergen,True,3.7,2924.0,5,25
1127,Randaberg,Stavanger,Stavanger,False,1.5,1161.0,6,28
1130,Strand,Stavanger,Stavanger,False,12.47,6598.0,4,19
1133,Hjelmeland,Stavanger,Stavanger,False,25.62,7360.0,3,15
1134,Suldal,Stavanger,Stavanger,False,38.55,9362.0,3,14
1135,Sauda,Stavanger,Stavanger,False,12.13,4201.0,3,16
1144,Kvitsøy,Stavanger,Stavanger,False,0.32,207.0,5,25
1145,Bokn,Stavanger,Stavanger,False,2.07,948.0,5,25
1146,Tysvær,Stavanger,Stavanger,False,17.93,7926.0,5,24
1149,Karmøy,Stavanger,Stavanger,False,11.97,6834.0,6,28
1151,Utsira,Stavanger,Stavanger,False,0.2,66.0,6,28
1160,Vindafjord,Stavanger,Stavanger,False,25.1,8327.0,5,24
1505,Kristiansund,Molde,Molde,False,4.33,2048.0,5,25
1506,Molde,Molde,Molde,False,19.37,9849.0,0,2
1508,Ålesund,Molde,Molde,False,15.72,8749.0,0,3
1525,Stranda,Molde,Molde,False,17.03,3918.0,0,6
1528,Sykkylven,Molde,Molde,False,9.0,2501.0,0,6
1535,Vestnes,Molde,Hamar,True,7.31,5719.0,0,4
1547,Aukra,Molde,Molde,False,1.12,900.0,2,13
1554,Averøy,Molde,Molde,False,7.85,3601.0,5,25
1557,Gjemnes,Molde,Molde,False,12.08,3596.0,3,16
1560,Tingvoll,Molde,Molde,False,13.55,5373.0,3,16
1563,Sunndal,Molde,Trondheim,True,35.35,7848.0,0,3
1566,Surnadal,Molde,Molde,False,33.22,7330.0,3,15
1576,Aure,Molde,Molde,False,16.5,4577.0,2,13
1578,Fjord,Molde,Stavanger,True,24.97,5931.0,0,4
1579,Hustadvika,Molde,Molde,False,21.07,7743.0,2,12
1580,Haram,Molde,Molde,False,9.7,4153.0,0,5
1804,Bodø,Bodø,Bodø,False,34.38,11982.0,0,2
1806,Narvik,Bodø,Molde,True,55.82,12335.0,2,11
1811,Bindal,Bodø,Bodø,False,18.83,2467.0,6,28
1812,Sømna,Bodø,Bodø,False,5.93,1993.0,5,25
1813,Brønnøy,Bodø,Bodø,False,21.05,5124.0,1,9
1815,Vega,Bodø,Bodø,False,3.77,1249.0,5,25
1816,Vevelstad,Bodø,Bodø,False,8.72,1471.0,3,16
1818,Herøy,Bodø,Bodø,False,2.02,3933.0,6,28
1820,Alstahaug,Bodø,Bodø,False,6.78,3019.0,8,31
1822,Leirfjord,Bodø,Bodø,False,9.38,2506.0,3,16
1824,Vefsn,Bodø,Stavanger,True,37.77,8559.0,2,12
1825,Grane,Bodø,Bodø,False,30.45,4468.0,2,13
1826,Aarborte - Hattfjelldal,Bodø,Skien,True,39.02,4610.0,3,16
1827,Dønna,Bodø,Molde,True,4.67,1732.0,5,25
1828,Nesna,Bodø,Bodø,False,5.08,1141.0,4,20
1832,Hemnes,Bodø,Bodø,False,28.6,4516.0,1,9
1833,Rana,Bodø,Skien,True,72.92,10959.0,1,8
1834,Lurøy,Bodø,Bodø,False,5.77,1485.0,5,25
1835,Træna,Bodø,Bodø,False,0.33,88.0,6,28
1836,Rødøy,Bodø,Bodø,False,10.95,1257.0,2,13
1837,Meløy,Bodø,Bodø,False,17.47,4215.0,4,20
1838,Gildeskål,Bodø,Tromsø,True,12.23,2461.0,1,10
