Std,Scenario,N_Iterasjoner,Varighet_Aar_P5,Varighet_Aar_P50,Varighet_Aar_P95,Automasjon_P5,Automasjon_P50,Automasjon_P95
0.01,Basis_85,500,8.75,10.09,11.39,0.8339,0.85,0.8672
0.01,Middels_90,500,5.45,6.72,7.87,0.8839,0.9,0.9172
0.01,Samferdsel_96,500,1.51,2.66,3.75,0.9439,0.96,0.9772
0.02,Basis_85,500,7.6,10.1,12.29,0.8178,0.85,0.8843
0.02,Middels_90,500,4.31,6.67,8.85,0.8678,0.9,0.9343
0.02,Samferdsel_96,500,1.37,2.66,4.81,0.9278,0.96,0.99
0.03,Basis_85,500,6.46,10.01,13.28,0.8018,0.85,0.9015
0.03,Middels_90,500,3.2,6.67,9.93,0.8518,0.9,0.9515
0.03,Samferdsel_96,500,1.36,2.68,5.86,0.9118,0.96,0.99
0.05,Basis_85,500,4.22,10.01,15.38,0.7696,0.85,0.9359
0.05,Middels_90,500,1.38,6.65,12.03,0.8196,0.9,0.9859
0.05,Samferdsel_96,500,1.36,2.7,8.06,0.8796,0.96,0.99
