Scenario,uke_aar,uke_nr,Ko_Lengde_P5,Ko_Lengde_P50,Ko_Lengde_P95,Lenker_I_Ko_P5,Lenker_I_Ko_P50,Lenker_I_Ko_P95,Lenker_Overfort_P5,Lenker_Overfort_P50,Lenker_Overfort_P95,Kommuner_Overfort_P5,Kommuner_Overfort_P50,Kommuner_Overfort_P95,N
Basis_85,2026,18,62.0,62.0,62.0,281347.7,281902.0,282150.0,759.0,1007.0,1561.2999999999997,0.0,0.0,0.0,500
Basis_85,2026,19,60.0,60.0,61.0,273552.4,277077.0,286357.05,4554.85,6043.0,9369.8,1.0,2.0,2.0,500
Basis_85,2026,20,59.0,62.0,64.0,281915.3,307299.0,341571.3,8350.75,11079.0,17178.299999999996,2.0,3.0,5.0,500
Basis_85,2026,21,62.0,65.0,68.0,325777.0,365857.5,407187.35,12146.65,16114.5,24985.799999999996,4.0,5.0,7.0,500
Basis_85,2026,22,65.0,70.0,73.0,377982.9,427884.5,469721.05,15942.5,21151.0,32794.299999999996,5.0,6.0,8.0,500
Basis_85,2026,23,69.0,74.0,79.0,422347.85,483112.0,533722.5499999999,19738.4,26186.5,40601.84999999999,5.0,8.0,10.0,500
Basis_85,2026,24,74.0,81.0,88.0,493016.1,552633.5,609934.8,23533.3,31222.5,48410.29999999999,6.0,8.0,12.0,500
Basis_85,2026,25,81.0,89.0,98.0,563645.65,625171.0,692171.4999999999,27329.2,36258.0,56218.79999999999,8.0,10.0,12.0,500
Basis_85,2026,26,89.0,99.0,109.0,627703.65,700035.5,762822.75,31125.1,41294.5,64026.34999999999,8.0,10.0,16.0,500
Basis_85,2026,27,97.0,107.0,114.0,690162.05,758744.5,815047.95,34920.95,46330.0,71834.79999999999,9.0,12.0,17.0,500
Basis_85,2026,28,103.0,112.0,118.0,740666.5,805069.5,860505.85,38716.85,51366.0,79642.34999999999,10.0,12.0,19.0,500
Basis_85,2026,29,106.0,116.0,122.0,779033.3,845673.5,900331.2,42512.7,56401.5,87450.84999999999,11.0,12.0,21.0,500
Basis_85,2026,30,109.0,120.0,127.0,821066.9,888597.5,951152.95,46308.6,61438.0,95259.29999999999,12.0,14.0,24.0,500
Basis_85,2026,31,113.0,124.0,131.0,857530.3,931443.0,996227.2999999999,50104.45,66473.5,103066.84999999998,12.0,16.0,26.0,500
Basis_85,2026,32,115.95,127.0,135.0,894128.8,970828.0,1039424.0499999999,53899.4,71509.5,110875.34999999998,12.0,17.0,27.0,500
Basis_85,2026,33,119.0,131.0,140.0,935748.45,1018344.5,1084317.5,57695.3,76545.5,118682.84999999998,13.0,18.0,29.0,500
Basis_85,2026,34,123.0,136.0,145.0,972050.35,1060984.5,1132174.95,61491.15,81581.5,126491.34999999998,14.0,20.0,30.0,500
Basis_85,2026,35,128.0,140.0,150.04999999999995,1013903.85,1104564.0,1171820.4,65287.05,86617.0,134299.84999999998,16.0,21.0,31.0,500
Basis_85,2026,36,133.0,146.0,157.0,1050738.45,1146459.0,1215843.6,69082.9,91653.0,142107.34999999998,16.0,22.0,33.0,500
Basis_85,2026,37,138.0,152.0,162.0,1089604.4,1182001.0,1256513.75,72878.8,96689.0,149915.84999999998,17.0,24.0,34.0,500
Basis_85,2026,38,143.0,156.0,165.0,1126029.05,1208048.0,1281994.6,76674.7,101725.0,157723.39999999997,18.0,25.0,36.0,500
Basis_85,2026,39,145.0,157.0,167.0,1144575.2,1229955.5,1298658.15,80470.55,106760.5,165531.84999999998,19.0,26.0,37.0,500
Basis_85,2026,40,147.0,159.0,169.0,1159961.1,1247027.0,1320356.9,84266.45,111796.5,173340.34999999998,20.0,27.0,38.0,500
Basis_85,2026,41,149.0,161.0,171.0,1177493.9,1271639.0,1345925.45,88061.35,116832.5,181147.89999999997,21.0,28.0,39.049999999999955,500
Basis_85,2026,42,150.95,164.0,174.0,1204732.55,1299231.0,1374828.4,91857.25,121868.5,188956.34999999998,22.0,30.0,40.049999999999955,500
Basis_85,2026,43,153.0,167.0,178.04999999999995,1228659.95,1336829.5,1427442.7,95653.15,126904.0,196763.89999999997,24.0,30.0,44.0,500
Basis_85,2026,44,158.0,172.0,184.04999999999995,1272921.65,1377037.0,1468957.1,99449.0,131940.5,204572.39999999997,25.0,31.0,44.0,500
Basis_85,2026,45,161.95,179.0,190.04999999999995,1313072.45,1420815.0,1522769.3,103244.9,136976.0,212380.89999999997,26.0,31.0,45.0,500
Basis_85,2026,46,165.95,183.0,195.0,1340244.9,1457141.5,1557967.1,107040.75,142012.0,220188.39999999997,26.950000000000003,33.0,46.0,500
Basis_85,2026,47,169.95,187.0,200.0,1373844.0,1494337.0,1600575.0999999999,110836.65,147047.5,227996.89999999997,27.0,33.0,48.0,500
Basis_85,2026,48,172.95,192.0,208.0,1402995.9,1535698.0,1641875.0,114632.55,152084.0,235804.44999999995,28.0,34.0,49.0,500
Basis_85,2026,49,178.0,198.0,216.0,1438405.2,1575792.0,1679080.85,118427.45,157119.5,243612.89999999997,29.0,36.0,51.0,500
