Scenario,Plan_Type,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,MIP_vektet,0301,500,600,1431,2687
Basis_85,MIP_vektet,1101,500,1396,2187,2945
Basis_85,MIP_vektet,1103,500,1601,2521,3554
Basis_85,MIP_vektet,1106,500,1937,2941,3953
Basis_85,MIP_vektet,1108,500,1789,2821,3715
Basis_85,MIP_vektet,1111,500,802,1268,1811
Basis_85,MIP_vektet,1112,500,1227,1929,2607
Basis_85,MIP_vektet,1114,500,1753,2690,3672
Basis_85,MIP_vektet,1119,500,1668,2535,3573
Basis_85,MIP_vektet,1120,500,1371,2127,2912
Basis_85,MIP_vektet,1121,500,1221,1971,2700
Basis_85,MIP_vektet,1122,500,1559,2411,3430
Basis_85,MIP_vektet,1124,500,1935,2943,3959
Basis_85,MIP_vektet,1127,500,1932,2947,3960
Basis_85,MIP_vektet,1130,500,1672,2573,3596
Basis_85,MIP_vektet,1133,500,740,1249,1881
Basis_85,MIP_vektet,1134,500,1124,2026,3027
Basis_85,MIP_vektet,1135,500,1097,1768,2410
Basis_85,MIP_vektet,1144,500,1941,2949,3960
Basis_85,MIP_vektet,1145,500,1780,2802,3793
Basis_85,MIP_vektet,1146,500,1886,2909,3931
Basis_85,MIP_vektet,1149,500,1887,2934,3932
Basis_85,MIP_vektet,1151,500,1941,2949,3960
Basis_85,MIP_vektet,1160,500,1713,2672,3561
Basis_85,MIP_vektet,1505,500,794,1245,1799
Basis_85,MIP_vektet,1506,500,1875,3105,4158
Basis_85,MIP_vektet,1508,500,1796,2949,3948
Basis_85,MIP_vektet,1511,500,4,5,7
Basis_85,MIP_vektet,1514,500,5,7,11
Basis_85,MIP_vektet,1515,500,10,13,18
Basis_85,MIP_vektet,1516,500,11,17,21
Basis_85,MIP_vektet,1517,500,12,19,25
Basis_85,MIP_vektet,1520,500,19,28,39
Basis_85,MIP_vektet,1525,500,1878,2959,3917
Basis_85,MIP_vektet,1528,500,1920,3007,3989
