Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,0301,500,960,1832,2841
Basis_85,1101,500,607,983,1393
Basis_85,1103,500,443,754,1167
Basis_85,1106,500,1381,2171,2862
Basis_85,1108,500,1303,2008,2673
Basis_85,1111,500,608,992,1406
Basis_85,1112,500,606,987,1390
Basis_85,1114,500,601,977,1385
Basis_85,1119,500,453,766,1174
Basis_85,1120,500,584,956,1356
Basis_85,1121,500,492,831,1228
Basis_85,1122,500,401,677,1089
Basis_85,1124,500,1378,2162,2866
Basis_85,1127,500,1395,2178,2869
Basis_85,1130,500,500,825,1238
Basis_85,1133,500,341,572,944
Basis_85,1134,500,286,454,698
Basis_85,1135,500,487,821,1232
Basis_85,1144,500,1395,2183,2889
Basis_85,1145,500,1392,2177,2874
Basis_85,1146,500,1334,2098,2776
Basis_85,1149,500,1375,2125,2818
Basis_85,1151,500,1395,2183,2889
Basis_85,1160,500,1273,2053,2751
Basis_85,1505,500,664,1046,1420
Basis_85,1506,500,593,2582,3511
Basis_85,1508,500,1415,2511,3392
Basis_85,1511,500,4,5,7
Basis_85,1514,500,5,7,11
Basis_85,1515,500,10,13,18
Basis_85,1516,500,11,17,21
Basis_85,1517,500,12,19,25
Basis_85,1520,500,19,28,39
Basis_85,1525,500,1476,2501,3365
Basis_85,1528,500,1662,2590,3499
Basis_85,1531,500,21,33,45
Basis_85,1532,500,24,35,47
Basis_85,1535,500,1733,2700,3619
Basis_85,1539,500,31,46,61
Basis_85,1547,500,667,1056,1439
Basis_85,1554,500,614,998,1389
Basis_85,1557,500,564,921,1315
Basis_85,1560,500,541,909,1260
Basis_85,1563,500,331,575,3113
Basis_85,1566,500,332,600,936
Basis_85,1573,500,32,48,66
Basis_85,1576,500,486,837,1224
Basis_85,1577,500,39,60,77
Basis_85,1578,500,424,2248,3289
Basis_85,1579,500,439,783,1152
Basis_85,1580,500,1655,2577,3461
Basis_85,1804,500,684,1395,4049
Basis_85,1806,500,397,655,1337
Basis_85,1811,500,1308,2035,2756
Basis_85,1812,500,1525,2418,3216
Basis_85,1813,500,1123,1942,2719
Basis_85,1815,500,1567,2478,3272
Basis_85,1816,500,1502,2357,3100
Basis_85,1818,500,1566,2491,3304
