KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
0301,Oslo,Oslo,Oslo,False,30.63,35397.0,2,2026-07-15,36,2029-05-15
1101,Eigersund,Stavanger,Tromsø,True,0.15,6942.0,4,2026-09-15,77,2032-10-15
1103,Stavanger,Stavanger,Stavanger,False,15.98,13831.0,3,2026-08-15,57,2031-02-15
1106,Haugesund,Stavanger,Stavanger,False,2.82,1601.0,5,2026-10-15,98,2034-07-15
1108,Sandnes,Stavanger,Bodø,True,35.68,17326.0,6,2026-11-15,101,2034-10-15
1111,Sokndal,Stavanger,Molde,True,0.06,2134.0,5,2026-10-15,97,2034-06-15
1112,Lund,Stavanger,Bergen,True,0.1,2758.0,4,2026-09-15,82,2033-03-15
1114,Bjerkreim,Stavanger,Stavanger,False,0.22,7158.0,1,2026-06-15,33,2029-02-15
1119,Hå,Stavanger,Stavanger,False,14.53,6268.0,3,2026-08-15,64,2031-09-15
1120,Klepp,Stavanger,Tromsø,True,5.17,3414.0,4,2026-09-15,81,2033-02-15
1121,Time,Stavanger,Tromsø,True,12.28,5798.0,4,2026-09-15,79,2032-12-15
1122,Gjesdal,Stavanger,Stavanger,False,19.68,5779.0,3,2026-08-15,65,2031-10-15
1124,Sola,Stavanger,Stavanger,False,3.7,2924.0,6,2026-11-15,106,2035-03-15
1127,Randaberg,Stavanger,Stavanger,False,1.5,1161.0,5,2026-10-15,98,2034-07-15
1130,Strand,Stavanger,Stavanger,False,12.47,6598.0,2,2026-07-15,47,2030-04-15
1133,Hjelmeland,Stavanger,Skien,True,25.62,7360.0,2,2026-07-15,47,2030-04-15
1134,Suldal,Stavanger,Stavanger,False,38.55,9362.0,4,2026-09-15,76,2032-09-15
1135,Sauda,Stavanger,Bergen,True,12.13,4201.0,4,2026-09-15,81,2033-02-15
