uke_aar,uke_nr,Ko_Lengde_Kommuner,Lenker_I_Ko,Lenker_Overfort_Hittil,Kommuner_Overfort_Hittil
2026,18,62,281159.0,1750.0,0
2026,19,59,272409.0,10500.0,3
2026,20,62,339493.0,19250.0,5
2026,21,67,455537.0,28000.0,8
2026,22,70,500401.0,36750.0,10
2026,23,75,561237.0,45500.0,12
2026,24,86,641536.0,54250.0,12
2026,25,95,710171.0,63000.0,15
2026,26,107,799126.0,71750.0,17
2026,27,111,843535.0,80500.0,19
2026,28,113,874528.0,89250.0,22
2026,29,117,935431.0,98000.0,24
2026,30,120,979526.0,106750.0,26
2026,31,124,1031221.0,115500.0,28
2026,32,126,1056551.0,124250.0,30
2026,33,133,1109557.0,133000.0,31
2026,34,138,1160270.0,141750.0,33
2026,35,144,1187190.0,150500.0,34
2026,36,152,1250401.0,159250.0,36
2026,37,153,1259078.0,168000.0,37
2026,38,155,1268309.0,176750.0,38
2026,39,154,1270172.0,185500.0,40
2026,40,154,1291457.0,194250.0,44
2026,41,157,1298900.0,203000.0,44
2026,42,161,1348764.0,211750.0,45
2026,43,164,1395007.0,220500.0,46
2026,44,172,1442274.0,229250.0,48
2026,45,179,1491133.0,238000.0,49
2026,46,183,1515709.0,246750.0,51
2026,47,189,1563808.0,255500.0,53
2026,48,202,1603153.0,264250.0,54
2026,49,207,1634527.0,273000.0,56
2026,50,205,1637753.0,281750.0,60
2026,51,209,1656620.0,290500.0,62
2026,52,212,1669754.0,299250.0,63
2026,53,214,1690793.0,308000.0,64
2027,1,218,1739150.0,316750.0,65
2027,2,224,1787653.0,325500.0,66
2027,3,229,1810474.0,334250.0,66
2027,4,230,1811321.0,343000.0,66
2027,5,232,1826650.0,351750.0,66
2027,6,233,1834495.0,360500.0,67
2027,7,234,1830792.0,369250.0,67
2027,8,235,1842054.0,378000.0,68
2027,9,237,1852033.0,386750.0,68
2027,10,242,1908761.0,395500.0,69
2027,11,248,1930916.0,404250.0,69
2027,12,249,1927235.0,413000.0,69
2027,13,249,1926401.0,421750.0,70
2027,14,249,1948117.0,430500.0,71
2027,15,250,1955105.0,439250.0,72
2027,16,253,1969944.0,448000.0,72
2027,17,260,2019056.0,456750.0,73
2027,18,261,2022110.0,465500.0,74
2027,19,267,2075064.0,474250.0,74
2027,20,270,2081249.0,483000.0,74
2027,21,268,2072499.0,491750.0,76
2027,22,269,2068311.0,500500.0,76
2027,23,269,2063495.0,509250.0,78
2027,24,268,2054745.0,518000.0,79
2027,25,269,2073942.0,526750.0,79
2027,26,269,2065192.0,535500.0,79
2027,27,270,2060160.0,544250.0,80
2027,28,272,2056789.0,553000.0,81
2027,29,271,2048039.0,561750.0,82
2027,30,271,2039289.0,570500.0,82
2027,31,270,2030539.0,579250.0,83
2027,32,269,2032748.0,588000.0,85
2027,33,269,2023998.0,596750.0,85
2027,34,269,2019764.0,605500.0,86
2027,35,270,2016714.0,614250.0,87
2027,36,268,2007964.0,623000.0,89
2027,37,267,1999214.0,631750.0,90
2027,38,266,1990464.0,640500.0,91
2027,39,265,1981714.0,649250.0,92
2027,40,264,1972964.0,658000.0,93
2027,41,262,1964214.0,666750.0,95
2027,42,262,1955464.0,675500.0,95
2027,43,262,1946714.0,684250.0,95
2027,44,260,1937964.0,693000.0,97
2027,45,259,1929214.0,701750.0,98
2027,46,257,1920464.0,710500.0,100
2027,47,257,1911714.0,719250.0,100
2027,48,256,1902964.0,728000.0,101
2027,49,254,1894214.0,736750.0,103
2027,50,253,1885464.0,745500.0,104
2027,51,252,1876714.0,754250.0,105
2027,52,250,1867964.0,763000.0,107
2028,1,248,1859214.0,771750.0,109
2028,2,247,1850464.0,780500.0,110
2028,3,247,1841714.0,789250.0,110
2028,4,245,1832964.0,798000.0,112
2028,5,244,1824214.0,806750.0,113
2028,6,243,1815464.0,815500.0,114
2028,7,243,1806714.0,824250.0,114
2028,8,241,1797964.0,833000.0,116
2028,9,240,1789214.0,841750.0,117
2028,10,237,1780464.0,850500.0,120
2028,11,235,1771714.0,859250.0,122
2028,12,234,1762964.0,868000.0,123
2028,13,232,1754214.0,876750.0,125
2028,14,232,1745464.0,885500.0,125
2028,15,231,1736714.0,894250.0,126
2028,16,230,1727964.0,903000.0,127
2028,17,229,1719214.0,911750.0,128
2028,18,228,1710464.0,920500.0,129
2028,19,227,1701714.0,929250.0,130
2028,20,226,1692964.0,938000.0,131
2028,21,225,1684214.0,946750.0,132
2028,22,224,1675464.0,955500.0,133
2028,23,222,1666714.0,964250.0,135
2028,24,221,1657964.0,973000.0,136
2028,25,221,1649214.0,981750.0,136
2028,26,220,1640464.0,990500.0,137
2028,27,220,1631714.0,999250.0,137
2028,28,219,1622964.0,1008000.0,138
2028,29,219,1614214.0,1016750.0,138
2028,30,218,1605464.0,1025500.0,139
2028,31,216,1596714.0,1034250.0,141
2028,32,216,1587964.0,1043000.0,141
2028,33,215,1579214.0,1051750.0,142
2028,34,214,1570464.0,1060500.0,143
2028,35,213,1561714.0,1069250.0,144
2028,36,212,1552964.0,1078000.0,145
2028,37,211,1544214.0,1086750.0,146
2028,38,211,1535464.0,1095500.0,146
2028,39,210,1526714.0,1104250.0,147
2028,40,210,1517964.0,1113000.0,147
2028,41,209,1509214.0,1121750.0,148
2028,42,208,1500464.0,1130500.0,149
2028,43,206,1491714.0,1139250.0,151
2028,44,205,1482964.0,1148000.0,152
2028,45,204,1474214.0,1156750.0,153
2028,46,203,1465464.0,1165500.0,154
2028,47,202,1456714.0,1174250.0,155
2028,48,201,1447964.0,1183000.0,156
2028,49,201,1439214.0,1191750.0,156
2028,50,200,1430464.0,1200500.0,157
2028,51,198,1421714.0,1209250.0,159
2028,52,197,1412964.0,1218000.0,160
2029,1,196,1404214.0,1226750.0,161
2029,2,194,1395464.0,1235500.0,163
2029,3,193,1386714.0,1244250.0,164
2029,4,193,1377964.0,1253000.0,164
2029,5,192,1369214.0,1261750.0,165
2029,6,191,1360464.0,1270500.0,166
2029,7,191,1351714.0,1279250.0,166
2029,8,189,1342964.0,1288000.0,168
2029,9,188,1334214.0,1296750.0,169
2029,10,185,1325464.0,1305500.0,172
2029,11,183,1316714.0,1314250.0,174
2029,12,183,1307964.0,1323000.0,174
2029,13,181,1299214.0,1331750.0,176
2029,14,179,1290464.0,1340500.0,178
2029,15,176,1281714.0,1349250.0,181
2029,16,174,1272964.0,1358000.0,183
2029,17,174,1264214.0,1366750.0,183
2029,18,174,1255464.0,1375500.0,183
2029,19,174,1246714.0,1384250.0,183
2029,20,173,1237964.0,1393000.0,184
2029,21,172,1229214.0,1401750.0,185
2029,22,169,1220464.0,1410500.0,188
2029,23,169,1211714.0,1419250.0,188
2029,24,167,1202964.0,1428000.0,190
2029,25,166,1194214.0,1436750.0,191
2029,26,164,1185464.0,1445500.0,193
2029,27,164,1176714.0,1454250.0,193
2029,28,162,1167964.0,1463000.0,195
2029,29,162,1159214.0,1471750.0,195
2029,30,161,1150464.0,1480500.0,196
2029,31,159,1141714.0,1489250.0,198
2029,32,157,1132964.0,1498000.0,200
2029,33,156,1124214.0,1506750.0,201
2029,34,156,1115464.0,1515500.0,201
2029,35,154,1106714.0,1524250.0,203
2029,36,153,1097964.0,1533000.0,204
2029,37,153,1089214.0,1541750.0,204
2029,38,152,1080464.0,1550500.0,205
2029,39,152,1071714.0,1559250.0,205
2029,40,150,1062964.0,1568000.0,207
2029,41,149,1054214.0,1576750.0,208
2029,42,148,1045464.0,1585500.0,209
2029,43,148,1036714.0,1594250.0,209
2029,44,148,1027964.0,1603000.0,209
2029,45,148,1019214.0,1611750.0,209
2029,46,147,1010464.0,1620500.0,210
2029,47,146,1001714.0,1629250.0,211
2029,48,145,992964.0,1638000.0,212
2029,49,144,984214.0,1646750.0,213
2029,50,142,975464.0,1655500.0,215
2029,51,140,966714.0,1664250.0,217
2029,52,134,957964.0,1673000.0,223
2030,1,133,949214.0,1681750.0,224
2030,2,133,940464.0,1690500.0,224
2030,3,133,931714.0,1699250.0,224
2030,4,132,922964.0,1708000.0,225
2030,5,132,914214.0,1716750.0,225
2030,6,131,905464.0,1725500.0,226
2030,7,129,896714.0,1734250.0,228
2030,8,127,887964.0,1743000.0,230
2030,9,125,879214.0,1751750.0,232
2030,10,124,870464.0,1760500.0,233
2030,11,122,861714.0,1769250.0,235
2030,12,121,852964.0,1778000.0,236
2030,13,120,844214.0,1786750.0,237
2030,14,119,835464.0,1795500.0,238
2030,15,119,826714.0,1804250.0,238
2030,16,118,817964.0,1813000.0,239
2030,17,114,809214.0,1821750.0,243
2030,18,113,800464.0,1830500.0,244
2030,19,112,791714.0,1839250.0,245
2030,20,110,782964.0,1848000.0,247
2030,21,106,774214.0,1856750.0,251
