uke_aar,uke_nr,Ko_Lengde_Kommuner,Lenker_I_Ko,Lenker_Overfort_Hittil,Kommuner_Overfort_Hittil
2026,18,62,279159.0,3750.0,0
2026,19,56,260409.0,22500.0,6
2026,20,57,317493.0,41250.0,10
2026,21,61,423537.0,60000.0,14
2026,22,61,458401.0,78750.0,19
2026,23,63,509237.0,97500.0,24
2026,24,70,579536.0,116250.0,28
2026,25,79,638171.0,135000.0,31
2026,26,89,717126.0,153750.0,35
2026,27,92,751535.0,172500.0,38
2026,28,93,772528.0,191250.0,42
2026,29,96,823431.0,210000.0,45
2026,30,98,857526.0,228750.0,48
2026,31,101,899221.0,247500.0,51
2026,32,101,914551.0,266250.0,55
2026,33,102,957557.0,285000.0,62
2026,34,107,998270.0,303750.0,64
2026,35,112,1015190.0,322500.0,66
2026,36,122,1068401.0,341250.0,66
2026,37,123,1067078.0,360000.0,67
2026,38,125,1066309.0,378750.0,68
2026,39,125,1058172.0,397500.0,69
2026,40,128,1069457.0,416250.0,70
2026,41,129,1066900.0,435000.0,72
2026,42,133,1106764.0,453750.0,73
2026,43,136,1143007.0,472500.0,74
2026,44,144,1180274.0,491250.0,76
2026,45,150,1219133.0,510000.0,78
2026,46,155,1233709.0,528750.0,79
2026,47,162,1271808.0,547500.0,80
2026,48,174,1301153.0,566250.0,82
2026,49,179,1322527.0,585000.0,84
2026,50,179,1315753.0,603750.0,86
2026,51,182,1324620.0,622500.0,89
2026,52,184,1327754.0,641250.0,91
2026,53,184,1338793.0,660000.0,94
2027,1,188,1377150.0,678750.0,95
2027,2,192,1415653.0,697500.0,98
2027,3,195,1428474.0,716250.0,100
2027,4,194,1419321.0,735000.0,102
2027,5,193,1424650.0,753750.0,105
2027,6,191,1422495.0,772500.0,109
2027,7,190,1408792.0,791250.0,111
2027,8,190,1410054.0,810000.0,113
2027,9,190,1410033.0,828750.0,115
2027,10,191,1456761.0,847500.0,120
2027,11,194,1468916.0,866250.0,123
2027,12,193,1455235.0,885000.0,125
2027,13,192,1444401.0,903750.0,127
2027,14,191,1456117.0,922500.0,129
2027,15,190,1453105.0,941250.0,132
2027,16,191,1457944.0,960000.0,134
2027,17,197,1497056.0,978750.0,136
2027,18,198,1490110.0,997500.0,137
2027,19,203,1533064.0,1016250.0,138
2027,20,203,1529249.0,1035000.0,141
2027,21,202,1510499.0,1053750.0,142
2027,22,201,1496311.0,1072500.0,144
2027,23,201,1481495.0,1091250.0,146
2027,24,200,1462745.0,1110000.0,147
2027,25,199,1471942.0,1128750.0,149
2027,26,196,1453192.0,1147500.0,152
2027,27,196,1438160.0,1166250.0,154
2027,28,197,1424789.0,1185000.0,156
2027,29,195,1406039.0,1203750.0,158
2027,30,193,1387289.0,1222500.0,160
2027,31,190,1368539.0,1241250.0,163
2027,32,189,1360748.0,1260000.0,165
2027,33,188,1341998.0,1278750.0,166
2027,34,186,1327764.0,1297500.0,169
2027,35,183,1314714.0,1316250.0,174
2027,36,181,1295964.0,1335000.0,176
2027,37,175,1277214.0,1353750.0,182
2027,38,174,1258464.0,1372500.0,183
2027,39,173,1239714.0,1391250.0,184
2027,40,169,1220964.0,1410000.0,188
2027,41,167,1202214.0,1428750.0,190
2027,42,164,1183464.0,1447500.0,193
2027,43,162,1164714.0,1466250.0,195
2027,44,160,1145964.0,1485000.0,197
2027,45,156,1127214.0,1503750.0,201
2027,46,154,1108464.0,1522500.0,203
2027,47,153,1089714.0,1541250.0,204
2027,48,152,1070964.0,1560000.0,205
2027,49,149,1052214.0,1578750.0,208
2027,50,148,1033464.0,1597500.0,209
2027,51,147,1014714.0,1616250.0,210
2027,52,146,995964.0,1635000.0,211
2028,1,143,977214.0,1653750.0,214
2028,2,137,958464.0,1672500.0,220
2028,3,133,939714.0,1691250.0,224
2028,4,132,920964.0,1710000.0,225
2028,5,130,902214.0,1728750.0,227
2028,6,125,883464.0,1747500.0,232
2028,7,122,864714.0,1766250.0,235
2028,8,120,845964.0,1785000.0,237
2028,9,119,827214.0,1803750.0,238
2028,10,114,808464.0,1822500.0,243
2028,11,111,789714.0,1841250.0,246
2028,12,104,770964.0,1860000.0,253
2028,13,99,752214.0,1878750.0,258
2028,14,96,733464.0,1897500.0,261
2028,15,93,714714.0,1916250.0,264
2028,16,91,695964.0,1935000.0,266
2028,17,84,677214.0,1953750.0,273
2028,18,82,658464.0,1972500.0,275
2028,19,81,639714.0,1991250.0,276
2028,20,78,620964.0,2010000.0,279
2028,21,77,602214.0,2028750.0,280
2028,22,75,583464.0,2047500.0,282
2028,23,73,564714.0,2066250.0,284
2028,24,71,545964.0,2085000.0,286
2028,25,70,527214.0,2103750.0,287
2028,26,65,508464.0,2122500.0,292
2028,27,63,489714.0,2141250.0,294
2028,28,61,470964.0,2160000.0,296
2028,29,59,452214.0,2178750.0,298
2028,30,57,433464.0,2197500.0,300
2028,31,55,414714.0,2216250.0,302
2028,32,53,395964.0,2235000.0,304
2028,33,51,377214.0,2253750.0,306
2028,34,50,358464.0,2272500.0,307
2028,35,49,339714.0,2291250.0,308
2028,36,46,320964.0,2310000.0,311
2028,37,42,302214.0,2328750.0,315
2028,38,39,283464.0,2347500.0,318
2028,39,38,264714.0,2366250.0,319
2028,40,37,245964.0,2385000.0,320
2028,41,34,227214.0,2403750.0,323
2028,42,32,208464.0,2422500.0,325
2028,43,30,189714.0,2441250.0,327
2028,44,27,170964.0,2460000.0,330
2028,45,24,152214.0,2478750.0,333
2028,46,21,133464.0,2497500.0,336
2028,47,19,114714.0,2516250.0,338
2028,48,18,95964.0,2535000.0,339
2028,49,16,77214.0,2553750.0,341
2028,50,11,58464.0,2572500.0,346
2028,51,10,39714.0,2591250.0,347
2028,52,4,20964.0,2610000.0,353
2029,1,2,2214.0,2628750.0,355
2029,2,0,0.0,2630964.0,357
