Prosjektnr,KomNr,Kommune,Kartkontor,Prosjektstatus,Laaseperiode_Start,Laaseperiode_Slutt
LACIAK61,3201,Bærum,Oslo,Pågående,2026-06-01,2026-12-31
LACIAK61,3203,Asker,Oslo,Pågående,2026-06-01,2026-12-31
LACIIN61,3407,Gjøvik,Hamar,Planlagt,2026-07-01,2026-12-31
LACIIN61,3442,Østre Toten,Hamar,Planlagt,2026-07-01,2026-12-31
LACIIN61,3443,Vestre Toten,Hamar,Planlagt,2026-07-01,2026-12-31
LACIIN61,3447,Søndre Land,Hamar,Planlagt,2026-07-01,2026-12-31
LACIIN61,3448,Nordre Land,Hamar,Planlagt,2026-07-01,2026-12-31
LACIIN63,3403,Hamar,Hamar,Pågående,2026-03-01,2026-11-30
LACIIN63,3411,Ringsaker,Hamar,Pågående,2026-03-01,2026-11-30
LACIIN63,3412,Løten,Hamar,Pågående,2026-03-01,2026-11-30
LACIIN63,3419,Våler,Hamar,Pågående,2026-03-01,2026-11-30
LACIIN63,3420,Elverum,Hamar,Pågående,2026-03-01,2026-11-30
LACIIN63,3421,Trysil,Hamar,Pågående,2026-03-01,2026-11-30
LACIIN63,3422,Åmot,Hamar,Pågående,2026-03-01,2026-11-30
LACIIN63,3423,Stor-Elvdal,Hamar,Pågående,2026-03-01,2026-11-30
LACIIN53,3405,Lillehammer,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN53,3407,Gjøvik,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN53,3448,Nordre Land,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN53,3450,Etnedal,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN53,3451,Nord-Aurdal,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN52,3431,Dovre,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN52,3432,Lesja,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN52,3433,Skjåk,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN52,3434,Lom,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN52,3435,Vågå,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN52,3437,Sel,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN52,3436,Nord-Fron,Hamar,Pågående,2026-03-01,2026-08-31
LACIIN52,3438,Sør-Fron,Hamar,Pågående,2026-03-01,2026-08-31
LACHIN42,3423,Stor-Elvdal,Hamar,Pågående,2026-03-01,2026-08-31
LACHIN42,3424,Rendalen,Hamar,Pågående,2026-03-01,2026-08-31
LACHIN42,3425,Engerdal,Hamar,Pågående,2026-03-01,2026-08-31
LACHIN42,3426,Tolga,Hamar,Pågående,2026-03-01,2026-08-31
LACHIN42,3427,Tynset,Hamar,Pågående,2026-03-01,2026-08-31
LACHIN42,3428,Alvdal,Hamar,Pågående,2026-03-01,2026-08-31
LACHIN42,3429,Folldal,Hamar,Pågående,2026-03-01,2026-08-31
LACHIN42,3430,Os,Hamar,Pågående,2026-03-01,2026-08-31
LACIVE51,3901,Horten,Skien,Pågående,2026-05-01,2026-12-31
LACIVE51,3903,Holmestrand,Skien,Pågående,2026-05-01,2026-12-31
LACIVE51,3905,Tønsberg,Skien,Pågående,2026-05-01,2026-12-31
LACIVE51,3907,Sandefjord,Skien,Pågående,2026-05-01,2026-12-31
LACIVE51,3909,Larvik,Skien,Pågående,2026-05-01,2026-12-31
LACIVE51,3911,Færder,Skien,Pågående,2026-05-01,2026-12-31
LACITE52,4036,Vinje,Skien,Pågående,2026-05-01,2026-12-31
LACITE52,4034,Tokke,Skien,Pågående,2026-05-01,2026-12-31
LACITE52,4032,Fyresdal,Skien,Pågående,2026-05-01,2026-12-31
LACITE61,4001,Porsgrunn,Skien,Planlagt,2026-05-01,2026-12-31
LACITE61,4003,Skien,Skien,Planlagt,2026-05-01,2026-12-31
LACITE61,4012,Bamble,Skien,Planlagt,2026-05-01,2026-12-31
LACITE61,4014,Kragerø,Skien,Planlagt,2026-05-01,2026-12-31
LACITE61,4016,Drangedal,Skien,Planlagt,2026-05-01,2026-12-31
LACITE61,4018,Nome,Skien,Planlagt,2026-05-01,2026-12-31
LACIRO61,1160,Vindafjord,Stavanger,Planlagt,2026-04-01,2026-09-30
LACIRO61,1106,Haugesund,Stavanger,Planlagt,2026-04-01,2026-09-30
LACIRO61,1145,Bokn,Stavanger,Planlagt,2026-04-01,2026-09-30
LACIRO61,1151,Utsira,Stavanger,Planlagt,2026-04-01,2026-09-30
LACIRO62,1108,Sandnes,Stavanger,Planlagt,2026-04-01,2026-09-30
LACIRO62,1124,Sola,Stavanger,Planlagt,2026-04-01,2026-09-30
LACIRO62,1127,Randaberg,Stavanger,Planlagt,2026-04-01,2026-09-30
LACIRO61,1146,Tysvær,Stavanger,Planlagt,2026-04-01,2026-09-30
LACIRO61,1149,Karmøy,Stavanger,Planlagt,2026-04-01,2026-09-30
LACIRO62,1144,Kvitsøy,Stavanger,Planlagt,2026-04-01,2026-09-30
LACHVL39,4602,Kinn,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4629,Modalen,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4638,Høyanger,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4639,Vik,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4640,Sogndal,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4641,Aurland,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4642,Lærdal,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4647,Sunnfjord,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4648,Bremanger,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4649,Stad,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4650,Gloppen,Bergen,Planlagt,2026-08-01,2027-03-31
LACHVL39,4651,Stryn,Bergen,Planlagt,2026-08-01,2027-03-31
LACIVL01,4628,Vaksdal,Bergen,Pågående,2026-05-01,2027-02-28
LACIVL01,4630,Osterøy,Bergen,Pågående,2026-05-01,2027-02-28
LACIVL01,4631,Alver,Bergen,Pågående,2026-05-01,2027-02-28
LACIVL01,4634,Masfjorden,Bergen,Pågående,2026-05-01,2027-02-28
LACIVL01,4635,Gulen,Bergen,Pågående,2026-05-01,2027-02-28
LACIVL02,4619,Eidfjord,Bergen,Pågående,2025-10-01,2026-03-31
LACIVL03,4641,Aurland,Bergen,Pågående,2025-06-01,2006-03-31
LACIVL03,4643,Årdal,Bergen,Pågående,2025-06-01,2006-03-31
LACIVL61,4612,Sveio,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL61,4613,Bømlo,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL61,4614,Stord,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL61,4615,Fitjar,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL61,4616,Tysnes,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL61,4625,Austevoll,Bergen,Planlagt,2026-06-01,2027-03-31
LACIVL62,4644,Luster,Bergen,Planlagt,2026-08-01,2027-03-31
LACIVL62,4647,Sunnfjord,Bergen,Planlagt,2026-08-01,2027-03-31
LACIVL63,4651,Stryn,Bergen,Planlagt,2026-08-01,2027-03-31
LACIVL64,4601,Bergen,Bergen,Planlagt,2026-06-01,2027-03-31
LACIMR51,1505,Kristiansund,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1554,Averøy,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1557,Gjemnes,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1560,Tingvoll,Molde,Pågående,2026-01-01,2026-04-30
LACIMR51,1563,Sunndal,Molde,Pågående,2026-01-01,2026-04-30
