KomNr,Kommune,Fylkesnr,Fylke,Kartkontor,Km_Kurve,ArealLand_Km2,Ber_Tidbruk_Min,Ber_Dagsverk,Status,Fremdrift_Prosent,Antall_Lenker,Gjenstaaende_Lenker,Geovekst_Prosjekter,Geovekst_Status,Er_Laast
0301,Oslo,3,Oslo,Oslo,1727.18,426.0,1838,5.0,Ikke påbegynt,0.0,35397.0,35397.0,,,False
1101,Eigersund,11,Rogaland,Stavanger,748.33,387.0,928,3.0,Påbegynt,99.0,6942.0,69.0,,,False
1103,Stavanger,11,Rogaland,Stavanger,876.87,256.0,959,3.0,Ikke påbegynt,0.0,13831.0,13831.0,,,False
1106,Haugesund,11,Rogaland,Stavanger,137.88,68.0,169,1.0,Ikke påbegynt,0.0,1601.0,1601.0,LACIRO61,Planlagt,True
1108,Sandnes,11,Rogaland,Stavanger,1690.13,943.0,2141,5.0,Ikke påbegynt,0.0,17326.0,17326.0,LACIRO62,Planlagt,True
1111,Sokndal,11,Rogaland,Stavanger,229.21,267.0,381,1.0,Påbegynt,99.0,2134.0,21.0,,,False
1112,Lund,11,Rogaland,Stavanger,429.15,354.0,618,2.0,Påbegynt,99.0,2758.0,28.0,,,False
1114,Bjerkreim,11,Rogaland,Stavanger,1016.71,577.0,1294,3.0,Påbegynt,99.0,7158.0,72.0,,,False
1119,Hå,11,Rogaland,Stavanger,786.17,248.0,872,2.0,Påbegynt,0.0,6268.0,6268.0,,,False
1120,Klepp,11,Rogaland,Stavanger,269.39,102.0,310,1.0,Ikke påbegynt,0.0,3414.0,3414.0,,,False
1121,Time,11,Rogaland,Stavanger,692.5,171.0,737,2.0,Ikke påbegynt,0.0,5798.0,5798.0,,,False
1122,Gjesdal,11,Rogaland,Stavanger,904.7,558.0,1181,3.0,Ikke påbegynt,0.0,5779.0,5779.0,,,False
1124,Sola,11,Rogaland,Stavanger,196.46,69.0,222,1.0,Ikke påbegynt,0.0,2924.0,2924.0,LACIRO62,Planlagt,True
1127,Randaberg,11,Rogaland,Stavanger,82.1,24.0,90,1.0,Ikke påbegynt,0.0,1161.0,1161.0,LACIRO62,Planlagt,True
1130,Strand,11,Rogaland,Stavanger,658.74,235.0,748,2.0,Ikke påbegynt,0.0,6598.0,6598.0,,,False
1133,Hjelmeland,11,Rogaland,Stavanger,1018.14,948.0,1537,4.0,Ikke påbegynt,0.0,7360.0,7360.0,,,False
1134,Suldal,11,Rogaland,Stavanger,1420.06,1582.0,2313,6.0,Ikke påbegynt,0.0,9362.0,9362.0,,,False
1135,Sauda,11,Rogaland,Stavanger,439.95,508.0,728,2.0,Ikke påbegynt,0.0,4201.0,4201.0,,,False
1144,Kvitsøy,11,Rogaland,Stavanger,16.53,6.0,19,1.0,Ikke påbegynt,0.0,207.0,207.0,LACIRO62,Planlagt,True
1145,Bokn,11,Rogaland,Stavanger,104.28,45.0,124,1.0,Ikke påbegynt,0.0,948.0,948.0,LACIRO61,Planlagt,True
1146,Tysvær,11,Rogaland,Stavanger,902.17,400.0,1076,3.0,Ikke påbegynt,0.0,7926.0,7926.0,LACIRO61,Planlagt,True
1149,Karmøy,11,Rogaland,Stavanger,636.48,219.0,718,2.0,Ikke påbegynt,0.0,6834.0,6834.0,LACIRO61,Planlagt,True
1151,Utsira,11,Rogaland,Stavanger,9.33,6.0,12,1.0,Ikke påbegynt,0.0,66.0,66.0,LACIRO61,Planlagt,True
1160,Vindafjord,11,Rogaland,Stavanger,1235.39,599.0,1506,4.0,Ikke påbegynt,0.0,8327.0,8327.0,LACIRO61,Planlagt,True
1505,Kristiansund,15,Møre og Romsdal,Molde,225.4,86.0,260,1.0,Ikke påbegynt,0.0,2048.0,2048.0,LACIMR51,Pågående,True
1506,Molde,15,Møre og Romsdal,Molde,1539.33,1435.0,2325,6.0,Påbegynt,50.0,9849.0,4924.0,"LACIMR61,LACIMR63",Planlagt,True
1508,Ålesund,15,Møre og Romsdal,Molde,788.97,353.0,943,3.0,Ikke påbegynt,0.0,8749.0,8749.0,LACIMR63,Planlagt,True
1511,Vanylven,15,Møre og Romsdal,Molde,497.82,365.0,687,2.0,Ferdig,100.0,3853.0,0.0,LACIMR63,Planlagt,True
1514,Sande,15,Møre og Romsdal,Molde,219.16,90.0,257,1.0,Ferdig,100.0,1741.0,0.0,LACIMR63,Planlagt,True
