KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_NVDB_Mnd
0301,Oslo,Oslo,Oslo,False,30.63,35397.0,2,36
1101,Eigersund,Stavanger,Tromsø,True,0.15,6942.0,4,77
1103,Stavanger,Stavanger,Stavanger,False,15.98,13831.0,3,57
1106,Haugesund,Stavanger,Stavanger,False,2.82,1601.0,5,98
1108,Sandnes,Stavanger,Bodø,True,35.68,17326.0,6,101
1111,Sokndal,Stavanger,Molde,True,0.06,2134.0,5,97
1112,Lund,Stavanger,Bergen,True,0.1,2758.0,4,82
1114,Bjerkreim,Stavanger,Stavanger,False,0.22,7158.0,1,33
1119,Hå,Stavanger,Stavanger,False,14.53,6268.0,3,64
1120,Klepp,Stavanger,Tromsø,True,5.17,3414.0,4,81
1121,Time,Stavanger,Tromsø,True,12.28,5798.0,4,79
1122,Gjesdal,Stavanger,Stavanger,False,19.68,5779.0,3,65
1124,Sola,Stavanger,Stavanger,False,3.7,2924.0,6,106
1127,Randaberg,Stavanger,Stavanger,False,1.5,1161.0,5,98
1130,Strand,Stavanger,Stavanger,False,12.47,6598.0,2,47
1133,Hjelmeland,Stavanger,Skien,True,25.62,7360.0,2,47
1134,Suldal,Stavanger,Stavanger,False,38.55,9362.0,4,76
1135,Sauda,Stavanger,Bergen,True,12.13,4201.0,4,81
1144,Kvitsøy,Stavanger,Stavanger,False,0.32,207.0,6,106
1145,Bokn,Stavanger,Hamar,True,2.07,948.0,5,98
1146,Tysvær,Stavanger,Stavanger,False,17.93,7926.0,5,91
1149,Karmøy,Stavanger,Stavanger,False,11.97,6834.0,6,105
1151,Utsira,Stavanger,Stavanger,False,0.2,66.0,6,106
1160,Vindafjord,Stavanger,Tromsø,True,25.1,8327.0,7,111
1505,Kristiansund,Molde,Molde,False,4.33,2048.0,5,97
1506,Molde,Molde,Kristiansand,True,19.37,9849.0,0,8
1508,Ålesund,Molde,Molde,False,15.72,8749.0,0,11
1525,Stranda,Molde,Molde,False,17.03,3918.0,0,22
1528,Sykkylven,Molde,Molde,False,9.0,2501.0,0,24
1535,Vestnes,Molde,Molde,False,7.31,5719.0,0,18
1547,Aukra,Molde,Molde,False,1.12,900.0,2,50
1554,Averøy,Molde,Molde,False,7.85,3601.0,5,96
1557,Gjemnes,Molde,Molde,False,12.08,3596.0,4,81
1560,Tingvoll,Molde,Trondheim,True,13.55,5373.0,4,79
1563,Sunndal,Molde,Kristiansand,True,35.35,7848.0,0,12
1566,Surnadal,Molde,Molde,False,33.22,7330.0,1,32
1576,Aure,Molde,Molde,False,16.5,4577.0,3,66
