Scenario,Plan_Type,uke_aar,uke_nr,Ko_Lengde_P5,Ko_Lengde_P50,Ko_Lengde_P95,Lenker_I_Ko_P5,Lenker_I_Ko_P50,Lenker_I_Ko_P95,Lenker_Overfort_P5,Lenker_Overfort_P50,Lenker_Overfort_P95,Kommuner_Overfort_P5,Kommuner_Overfort_P50,Kommuner_Overfort_P95,N
Basis_85,MIP_vektet,2026,18,62.0,62.0,62.0,281522.0,281740.5,281917.15,991.85,1168.5,1387.0,0.0,0.0,0.0,500
Basis_85,MIP_vektet,2026,19,60.0,60.0,61.0,274602.2,275987.5,281911.25,5953.1,7009.5,8322.05,2.0,2.0,2.0,500
Basis_85,MIP_vektet,2026,20,58.0,60.0,62.0,276488.85,297210.0,323973.65,10913.4,12850.5,15258.05,3.0,4.0,5.0,500
Basis_85,MIP_vektet,2026,21,61.0,63.0,65.0,313865.1,348030.5,391989.7,15874.7,18691.0,22193.1,5.0,5.0,6.0,500
Basis_85,MIP_vektet,2026,22,63.0,66.0,69.0,356957.55,404607.5,449815.3,20835.0,24532.0,29128.15,5.0,7.0,8.0,500
Basis_85,MIP_vektet,2026,23,66.0,70.0,73.0,404158.85,453875.0,503016.6,25796.25,30373.0,36064.15,8.0,8.0,10.0,500
Basis_85,MIP_vektet,2026,24,70.0,74.0,78.0,460285.75,513649.5,570842.85,30757.5,36214.0,42999.2,8.0,10.0,11.0,500
Basis_85,MIP_vektet,2026,25,74.0,79.0,83.0,518672.7,578154.0,638691.6999999998,35717.8,42055.0,49934.25,10.0,10.0,12.0,500
Basis_85,MIP_vektet,2026,26,79.0,84.0,89.0,576711.85,643103.0,706388.1499999999,40679.05,47896.0,56870.2,10.0,12.0,12.0,500
Basis_85,MIP_vektet,2026,27,85.0,91.0,97.0,649821.3,716501.5,785421.0,45639.35,53737.0,63805.25,12.0,12.0,16.0,500
Basis_85,MIP_vektet,2026,28,90.0,98.0,105.0,706365.0,790549.5,860002.0499999999,50600.6,59578.0,70740.3,12.0,14.0,17.0,500
