Scenario,Plan_Type,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,MIP_vektet,0301,500,619,1516,2855
Basis_85,MIP_vektet,1101,500,1213,1865,2596
Basis_85,MIP_vektet,1103,500,998,1583,2328
Basis_85,MIP_vektet,1106,500,1843,2855,3822
Basis_85,MIP_vektet,1108,500,1731,2657,3568
Basis_85,MIP_vektet,1111,500,1209,1872,2607
Basis_85,MIP_vektet,1112,500,1207,1865,2602
Basis_85,MIP_vektet,1114,500,1201,1858,2576
Basis_85,MIP_vektet,1119,500,1008,1614,2322
Basis_85,MIP_vektet,1120,500,1182,1821,2541
Basis_85,MIP_vektet,1121,500,1042,1680,2401
Basis_85,MIP_vektet,1122,500,920,1498,2272
Basis_85,MIP_vektet,1124,500,1829,2861,3827
Basis_85,MIP_vektet,1127,500,1845,2868,3839
Basis_85,MIP_vektet,1130,500,1048,1710,2405
Basis_85,MIP_vektet,1133,500,837,1342,2064
Basis_85,MIP_vektet,1134,500,675,1153,1847
Basis_85,MIP_vektet,1135,500,1053,1688,2436
Basis_85,MIP_vektet,1144,500,1845,2869,3840
Basis_85,MIP_vektet,1145,500,1843,2862,3840
Basis_85,MIP_vektet,1146,500,1784,2768,3682
Basis_85,MIP_vektet,1149,500,1811,2813,3793
Basis_85,MIP_vektet,1151,500,1845,2872,3840
Basis_85,MIP_vektet,1160,500,1742,2740,3689
Basis_85,MIP_vektet,1505,500,963,1517,2288
Basis_85,MIP_vektet,1506,500,2018,3171,4212
Basis_85,MIP_vektet,1508,500,1928,3021,4063
Basis_85,MIP_vektet,1511,500,4,5,7
Basis_85,MIP_vektet,1514,500,5,7,11
Basis_85,MIP_vektet,1515,500,10,13,18
Basis_85,MIP_vektet,1516,500,11,17,21
Basis_85,MIP_vektet,1517,500,12,19,25
Basis_85,MIP_vektet,1520,500,19,28,39
Basis_85,MIP_vektet,1525,500,1923,3012,4003
Basis_85,MIP_vektet,1528,500,1969,3047,4046
Basis_85,MIP_vektet,1531,500,21,33,45
Basis_85,MIP_vektet,1532,500,24,35,47
Basis_85,MIP_vektet,1535,500,2060,3196,4259
Basis_85,MIP_vektet,1539,500,31,46,61
Basis_85,MIP_vektet,1547,500,1052,2374,4014
Basis_85,MIP_vektet,1554,500,915,1489,2225
Basis_85,MIP_vektet,1557,500,873,1410,2162
Basis_85,MIP_vektet,1560,500,857,1359,2059
Basis_85,MIP_vektet,1563,500,1891,3000,3975
Basis_85,MIP_vektet,1566,500,654,1037,1609
Basis_85,MIP_vektet,1573,500,32,48,66
Basis_85,MIP_vektet,1576,500,814,1316,2029
Basis_85,MIP_vektet,1577,500,39,60,77
Basis_85,MIP_vektet,1578,500,1980,3044,4046
Basis_85,MIP_vektet,1579,500,725,1279,3174
Basis_85,MIP_vektet,1580,500,1965,3058,4056
Basis_85,MIP_vektet,1804,500,369,631,1562
Basis_85,MIP_vektet,1806,500,409,724,1272
Basis_85,MIP_vektet,1811,500,790,1569,2414
Basis_85,MIP_vektet,1812,500,1466,2421,3248
Basis_85,MIP_vektet,1813,500,593,1315,2310
Basis_85,MIP_vektet,1815,500,1539,2486,3332
Basis_85,MIP_vektet,1816,500,1426,2293,3055
Basis_85,MIP_vektet,1818,500,1592,2527,3352
Basis_85,MIP_vektet,1820,500,1476,2375,3210
Basis_85,MIP_vektet,1822,500,1353,2250,3052
Basis_85,MIP_vektet,1824,500,1258,2132,3169
Basis_85,MIP_vektet,1825,500,342,697,1291
Basis_85,MIP_vektet,1826,500,564,963,1539
Basis_85,MIP_vektet,1827,500,1558,2462,3316
Basis_85,MIP_vektet,1828,497,1654,2876,4515
Basis_85,MIP_vektet,1832,499,1692,2713,4058
Basis_85,MIP_vektet,1833,500,1388,2159,2933
Basis_85,MIP_vektet,1834,499,1865,2925,4409
Basis_85,MIP_vektet,1835,500,1594,2540,3373
Basis_85,MIP_vektet,1836,500,1322,2153,2951
Basis_85,MIP_vektet,1837,499,1721,2863,4261
Basis_85,MIP_vektet,1838,500,1178,2105,2867
Basis_85,MIP_vektet,1839,500,599,1321,2281
Basis_85,MIP_vektet,1840,500,1301,2155,3884
Basis_85,MIP_vektet,1841,500,460,1131,2292
Basis_85,MIP_vektet,1845,500,495,1092,1977
Basis_85,MIP_vektet,1848,500,620,1428,2349
Basis_85,MIP_vektet,1851,500,1385,2228,3044
Basis_85,MIP_vektet,1853,500,1321,2289,3107
Basis_85,MIP_vektet,1856,500,1594,2542,3373
Basis_85,MIP_vektet,1857,500,1594,2534,3373
Basis_85,MIP_vektet,1859,500,1531,2438,3265
Basis_85,MIP_vektet,1860,500,972,1923,2818
Basis_85,MIP_vektet,1865,500,1075,2075,2931
Basis_85,MIP_vektet,1866,500,769,1764,2805
Basis_85,MIP_vektet,1867,500,1507,2411,3199
Basis_85,MIP_vektet,1868,500,40,62,83
Basis_85,MIP_vektet,1870,500,715,1620,2573
Basis_85,MIP_vektet,1871,500,486,1219,2331
Basis_85,MIP_vektet,1874,500,1590,2518,3345
Basis_85,MIP_vektet,1875,500,362,666,1307
Basis_85,MIP_vektet,3101,500,52,80,105
Basis_85,MIP_vektet,3103,500,1641,2626,3560
Basis_85,MIP_vektet,3105,500,970,2173,3238
Basis_85,MIP_vektet,3107,500,1094,2268,3282
Basis_85,MIP_vektet,3110,500,1700,2694,3658
Basis_85,MIP_vektet,3112,500,53,82,110
Basis_85,MIP_vektet,3114,500,1461,2512,3499
Basis_85,MIP_vektet,3116,500,1738,2741,3700
Basis_85,MIP_vektet,3118,500,509,1471,2835
Basis_85,MIP_vektet,3120,500,1738,2748,3716
