Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Basis_85,0301,500,985,1602,2194
Basis_85,1101,500,656,843,1088
Basis_85,1103,500,446,655,934
Basis_85,1106,500,1598,1943,2350
Basis_85,1108,500,1512,1813,2173
Basis_85,1111,500,664,848,1096
Basis_85,1112,500,660,844,1089
Basis_85,1114,500,656,837,1083
Basis_85,1119,500,454,671,934
Basis_85,1120,500,625,815,1062
Basis_85,1121,500,486,735,971
Basis_85,1122,500,396,587,872
Basis_85,1124,500,1595,1937,2344
Basis_85,1127,500,1607,1945,2363
Basis_85,1130,500,501,719,984
Basis_85,1133,500,339,490,769
Basis_85,1134,500,313,385,570
Basis_85,1135,500,496,721,999
Basis_85,1144,500,1609,1951,2364
Basis_85,1145,500,1605,1944,2356
Basis_85,1146,500,1550,1873,2268
Basis_85,1149,500,1578,1901,2308
Basis_85,1151,500,1609,1951,2364
Basis_85,1160,500,1524,1841,2230
Basis_85,1505,500,723,923,1127
Basis_85,1506,500,469,2358,2814
Basis_85,1508,500,1769,2275,2705
Basis_85,1511,500,4,5,5
Basis_85,1514,500,6,6,7
Basis_85,1515,500,10,12,13
Basis_85,1516,500,12,13,17
Basis_85,1517,500,13,17,19
Basis_85,1520,500,21,25,31
Basis_85,1525,500,1788,2256,2671
Basis_85,1528,500,1927,2308,2730
Basis_85,1531,500,25,28,33
Basis_85,1532,500,26,31,35
Basis_85,1535,500,2019,2414,2866
Basis_85,1539,500,33,40,47
Basis_85,1547,500,740,936,1152
Basis_85,1554,500,691,895,1113
Basis_85,1557,500,614,846,1085
Basis_85,1560,500,579,822,1035
Basis_85,1563,500,327,495,2532
Basis_85,1566,500,339,528,808
Basis_85,1573,500,35,42,49
Basis_85,1576,500,529,761,1013
Basis_85,1577,500,42,52,60
Basis_85,1578,500,382,2098,2625
Basis_85,1579,500,440,717,966
Basis_85,1580,500,1910,2294,2743
Basis_85,1804,500,593,1230,2982
Basis_85,1806,500,410,557,1125
