Variant,NVDB_Scenario,Total_Ukesverk,Status,Upaalitelig,Min_Kartkontor_Mnd,Makespan_Mnd,Makespan_Aar,Kartkontor_Siste_Mnd,Kommuner_Omfordelt,Aktive_Kommuner,Solver_Tid_Sek
S0_Baseline,Basis_85,327.0,Not Solved,False,7.2,122,10.17,10,27,295,2308.5
S0_Baseline,Middels_90,327.0,Optimal,False,7.2,81,6.75,10,36,295,856.9
S0_Baseline,Samferdsel_96,327.0,Optimal,False,7.2,33,2.75,11,71,295,548.1
S1_Trondheim50,Basis_85,301.0,Not Solved,False,7.8,122,10.17,10,28,295,2151.9
S1_Trondheim50,Middels_90,301.0,Optimal,False,7.8,81,6.75,10,58,295,1069.0
S1_Trondheim50,Samferdsel_96,301.0,Not Solved,False,7.8,33,2.75,10,28,295,1822.1
S2_Alle_pluss20,Basis_85,392.4,Optimal,False,6.0,122,10.17,10,34,295,1368.1
S2_Alle_pluss20,Middels_90,392.4,Optimal,False,6.0,81,6.75,10,35,295,625.6
S2_Alle_pluss20,Samferdsel_96,392.4,Optimal,False,6.0,33,2.75,10,35,295,513.5
S3_Omfordeling,Basis_85,360.1,Not Solved,False,6.5,122,10.17,10,38,295,2584.9
S3_Omfordeling,Middels_90,360.1,Optimal,False,6.5,81,6.75,11,59,295,755.9
S3_Omfordeling,Samferdsel_96,360.1,Optimal,False,6.5,33,2.75,10,40,295,502.8
S4_Alle_minus15,Basis_85,277.95,Optimal,False,8.5,122,10.17,11,60,295,1856.1
S4_Alle_minus15,Middels_90,277.95,Not Solved,False,8.5,81,6.75,10,31,295,1866.8
S4_Alle_minus15,Samferdsel_96,277.95,Not Solved,False,8.5,33,2.75,10,31,295,1824.3
S5_Alle_minus50,Basis_85,163.5,Not Solved,False,14.4,122,10.17,14,17,295,3583.9
S5_Alle_minus50,Middels_90,163.5,Not Solved,False,14.4,81,6.75,14,15,295,2721.4
S5_Alle_minus50,Samferdsel_96,163.5,Not Solved,False,14.4,33,2.75,14,12,295,2094.9
