KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker,Er_Laast,Status,Alltid_Q1Q2,Alltid_Q3Q4,Rang_Median_Heur,Rekkefolge_Klasse
3240,Eidsvoll,Oslo,5707.0,0.0,False,Ferdig,True,False,1.0,trivielt_tidlig_allerede_ferdig
3112,Råde,Oslo,2288.0,0.0,False,Ferdig,True,False,2.0,trivielt_tidlig_allerede_ferdig
5037,Levanger,Trondheim,12304.0,0.0,False,Ferdig,True,False,3.0,trivielt_tidlig_allerede_ferdig
5036,Frosta,Trondheim,2623.0,0.0,False,Ferdig,True,False,4.0,trivielt_tidlig_allerede_ferdig
3101,Halden,Oslo,11913.0,0.0,False,Ferdig,True,False,5.0,trivielt_tidlig_allerede_ferdig
5060,Nærøysund,Trondheim,7867.0,7867.0,False,Ferdig,True,False,6.0,trivielt_tidlig_allerede_ferdig
5031,Malvik,Trondheim,3146.0,0.0,False,Ferdig,True,False,7.0,trivielt_tidlig_allerede_ferdig
1868,Øksnes,Bodø,2602.0,0.0,False,Ferdig,True,False,8.0,trivielt_tidlig_allerede_ferdig
5022,Rennebu,Trondheim,9074.0,0.0,False,Ferdig,True,False,9.0,trivielt_tidlig_allerede_ferdig
5510,Kvæfjord,Tromsø,5849.0,0.0,False,Ferdig,True,False,10.0,trivielt_tidlig_allerede_ferdig
5538,Storfjord - Omasvuotna - Omasvuono,Tromsø,3674.0,0.0,False,Ferdig,True,False,11.0,trivielt_tidlig_allerede_ferdig
5634,Vardø,Tromsø,1053.0,0.0,False,Ferdig,True,False,12.0,trivielt_tidlig_allerede_ferdig
5020,Osen,Trondheim,2487.0,0.0,False,Ferdig,True,False,13.0,trivielt_tidlig_allerede_ferdig
5014,Frøya,Trondheim,6058.0,0.0,False,Ferdig,True,False,14.0,trivielt_tidlig_allerede_ferdig
5007,Namsos - Nåavmesjenjaelmie,Trondheim,9057.0,0.0,False,Ferdig,True,False,15.0,trivielt_tidlig_allerede_ferdig
5006,Steinkjer,Trondheim,15485.0,0.0,False,Ferdig,True,False,16.0,trivielt_tidlig_allerede_ferdig
