Kartblad,Objekttype,Minutter,Lengde_M,Lengde_Km,Min_Per_Km,Min_Per_Km2,Region
32-5-518-227-10,Kartblad,18,14909.1804123542,14.9091804123542,1.2073098253667018,2.34375,hvajen
32-5-519-227-00,Kartblad,17,19009.6857681726,19.0096857681726,0.894280957997877,2.213541666666667,hvajen
32-5-520-227-00,Kartblad,19,14666.2894769947,14.6662894769947,1.295487862134665,2.4739583333333335,hvajen
32-5-520-227-10,Kartblad,11,23209.3289257884,23.209328925788398,0.4739473525999994,1.4322916666666667,hvajen
32-5-521-227-00,Kartblad,4,17531.7813112322,17.5317813112322,0.2281570782221253,0.5208333333333334,hvajen
32-5-521-227-10,Kartblad,2,6674.10179159519,6.67410179159519,0.2996657921098288,0.2604166666666667,hvajen
32-5-519-227-11,Kartblad,8,14996.5563006688,14.9965563006688,0.533455804093052,1.0416666666666667,hvajen
32-5-519-228-10,Kartblad,24,20516.8091879678,20.516809187967798,1.169772540170376,3.125,hvajen
32-5-519-229-10,Kartblad,24,17846.3604334533,17.846360433453302,1.3448120186461996,3.125,hvajen
32-5-519-229-11,Kartblad,22,23369.9175090251,23.3699175090251,0.9413811577000193,2.8645833333333335,hvajen
32-5-519-230-10,Kartblad,19,19486.986937087,19.486986937087,0.9750096339337005,2.4739583333333335,hvajen
32-5-519-231-11,Kartblad,20,9009.05494668375,9.009054946683749,2.219988680095912,2.604166666666667,hvajen
32-5-519-232-11,Kartblad,25,7260.2321449734,7.2602321449734,3.443416064499904,3.2552083333333335,hvajen
32-5-519-233-10,Kartblad,3,4271.27769116374,4.27127769116374,0.7023659468936633,0.390625,hvajen
32-5-519-233-11,Kartblad,5,4022.32572939615,4.02232572939615,1.2430619339102165,0.6510416666666667,hvajen
32-5-518-226-01,Kartblad,20,17052.8990461664,17.0528990461664,1.172821110701182,2.604166666666667,hvajen
32-5-518-226-11,Kartblad,21,18948.6452855323,18.9486452855323,1.1082586477057519,2.734375,hvajen
32-5-519-226-11,Kartblad,8,7211.82768813717,7.21182768813717,1.1092888440969417,1.0416666666666667,hvajen
32-5-520-226-01,Kartblad,25,18791.1154246256,18.791115424625602,1.33041596707121,3.2552083333333335,hvajen
32-5-520-226-11,Kartblad,1,9972.84268791508,9.97284268791508,0.10027231264880804,0.13020833333333334,hvajen
32-5-514-231-10,Kartblad,1,1233.35611536505,1.23335611536505,0.8107958338569707,0.13020833333333334,hvajen
32-5-515-231-00,Kartblad,1,2131.1140854109,2.1311140854109,0.4692381355112625,0.13020833333333334,hvajen
32-5-514-230-11,Kartblad,1,689.596061376518,0.6895960613765181,1.4501242916090293,0.13020833333333334,hvajen
32-5-515-230-01,Kartblad,1,3246.10552373259,3.2461055237325898,0.3080614578573937,0.13020833333333334,hvajen
32-5-514-229-10,Kartblad,2,2792.68752517692,2.79268752517692,0.7161560260392174,0.2604166666666667,hvajen
32-5-515-231-11,Kartblad,6,6359.24713202613,6.35924713202613,0.9435079146056602,0.78125,hvajen
32-5-522-228-00,Kartblad,4,11191.2711303627,11.1912711303627,0.3574214183005289,0.5208333333333334,hvajen
