KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
0301,Oslo,Oslo,35397.0,35397.0,61.27,2027-02-09,2032-03-23
1101,Eigersund,Stavanger,6942.0,69.0,0.31,2026-08-18,2029-04-10
1103,Stavanger,Stavanger,13831.0,13831.0,31.97,2026-07-09,2028-06-16
1106,Haugesund,Stavanger,1601.0,1601.0,5.63,2026-12-08,2031-01-24
1108,Sandnes,Stavanger,17326.0,17326.0,71.37,2026-10-26,2030-06-14
1111,Sokndal,Stavanger,2134.0,21.0,0.12,2026-08-18,2029-04-17
1112,Lund,Stavanger,2758.0,28.0,0.21,2026-08-18,2029-04-13
1114,Bjerkreim,Stavanger,7158.0,72.0,0.43,2026-08-18,2029-03-30
1119,Hå,Stavanger,6268.0,6268.0,29.07,2026-07-20,2028-07-20
1120,Klepp,Stavanger,3414.0,3414.0,10.33,2026-08-18,2029-03-21
1121,Time,Stavanger,5798.0,5798.0,24.57,2026-08-05,2029-01-01
1122,Gjesdal,Stavanger,5779.0,5779.0,39.37,2026-06-29,2028-03-27
1124,Sola,Stavanger,2924.0,2924.0,7.4,2026-12-04,2031-01-08
1127,Randaberg,Stavanger,1161.0,1161.0,3.0,2026-12-09,2031-02-10
1130,Strand,Stavanger,6598.0,6598.0,24.93,2026-07-28,2028-10-02
1133,Hjelmeland,Stavanger,7360.0,7360.0,51.23,2026-06-15,2027-12-14
1134,Suldal,Stavanger,9362.0,9362.0,77.1,2026-05-28,2027-06-25
1135,Sauda,Stavanger,4201.0,4201.0,24.27,2026-08-13,2029-02-20
1144,Kvitsøy,Stavanger,207.0,207.0,0.63,2026-12-10,2031-02-10
1145,Bokn,Stavanger,948.0,948.0,4.13,2026-12-09,2031-02-07
1146,Tysvær,Stavanger,7926.0,7926.0,35.87,2026-11-24,2030-11-20
1149,Karmøy,Stavanger,6834.0,6834.0,23.93,2026-12-02,2031-01-03
1151,Utsira,Stavanger,66.0,66.0,0.4,2026-12-10,2031-02-11
1160,Vindafjord,Stavanger,8327.0,8327.0,50.2,2026-11-12,2030-09-09
1505,Kristiansund,Molde,2048.0,2048.0,8.67,2026-08-20,2029-05-02
1506,Molde,Molde,9849.0,4924.0,38.75,2027-01-15,2031-07-30
