KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
0301,Oslo,Oslo,35397.0,35397.0,45.95,2026-12-11,2030-01-22
1101,Eigersund,Stavanger,6942.0,69.0,0.23,2026-07-27,2028-04-07
1103,Stavanger,Stavanger,13831.0,13831.0,23.98,2026-06-25,2027-09-27
1106,Haugesund,Stavanger,1601.0,1601.0,4.22,2026-11-24,2029-10-23
1108,Sandnes,Stavanger,17326.0,17326.0,53.52,2026-10-21,2029-05-03
1111,Sokndal,Stavanger,2134.0,21.0,0.09,2026-07-27,2028-04-12
1112,Lund,Stavanger,2758.0,28.0,0.16,2026-07-27,2028-04-11
1114,Bjerkreim,Stavanger,7158.0,72.0,0.33,2026-07-27,2028-03-31
1119,Hå,Stavanger,6268.0,6268.0,21.8,2026-07-03,2027-10-25
1120,Klepp,Stavanger,3414.0,3414.0,7.75,2026-07-27,2028-03-24
1121,Time,Stavanger,5798.0,5798.0,18.43,2026-07-16,2028-01-28
1122,Gjesdal,Stavanger,5779.0,5779.0,29.52,2026-06-17,2027-08-09
1124,Sola,Stavanger,2924.0,2924.0,5.55,2026-11-23,2029-10-12
1127,Randaberg,Stavanger,1161.0,1161.0,2.25,2026-11-25,2029-10-25
1130,Strand,Stavanger,6598.0,6598.0,18.7,2026-07-09,2027-12-08
1133,Hjelmeland,Stavanger,7360.0,7360.0,38.42,2026-06-05,2027-06-08
1134,Suldal,Stavanger,9362.0,9362.0,57.83,2026-05-22,2027-02-05
1135,Sauda,Stavanger,4201.0,4201.0,18.2,2026-07-23,2028-03-15
1144,Kvitsøy,Stavanger,207.0,207.0,0.47,2026-11-25,2029-10-25
1145,Bokn,Stavanger,948.0,948.0,3.1,2026-11-25,2029-10-24
1146,Tysvær,Stavanger,7926.0,7926.0,26.9,2026-11-13,2029-09-25
1149,Karmøy,Stavanger,6834.0,6834.0,17.95,2026-11-19,2029-10-10
1151,Utsira,Stavanger,66.0,66.0,0.3,2026-11-25,2029-10-25
1160,Vindafjord,Stavanger,8327.0,8327.0,37.65,2026-11-03,2029-07-12
1505,Kristiansund,Molde,2048.0,2048.0,6.5,2026-07-29,2028-04-18
1506,Molde,Molde,9849.0,4924.0,29.06,2027-01-13,2030-05-17
1508,Ålesund,Molde,8749.0,8749.0,23.57,2027-01-18,2030-06-04
1511,Vanylven,Molde,3853.0,0.0,0.0,2026-05-01,2026-05-05
1514,Sande,Molde,1741.0,0.0,0.0,2026-05-01,2026-05-06
1515,Herøy,Molde,3933.0,0.0,0.0,2026-05-01,2026-05-11
1516,Ulstein,Molde,2064.0,0.0,0.0,2026-05-01,2026-05-12
1517,Hareid,Molde,1697.0,0.0,0.0,2026-05-01,2026-05-13
1520,Ørsta,Molde,7613.0,0.0,0.0,2026-05-01,2026-05-20
1525,Stranda,Molde,3918.0,3918.0,25.55,2026-12-25,2030-03-08
1528,Sykkylven,Molde,2501.0,2501.0,13.5,2027-01-28,2030-08-08
1531,Sula,Molde,2706.0,0.0,0.0,2026-05-01,2026-05-22
1532,Giske,Molde,1996.0,0.0,0.0,2026-05-01,2026-05-26
1535,Vestnes,Molde,5719.0,2860.0,10.96,2027-02-02,2030-09-03
1539,Rauma,Molde,7546.0,0.0,0.0,2026-05-01,2026-06-02
1547,Aukra,Molde,900.0,450.0,1.69,2026-07-30,2028-04-18
1554,Averøy,Molde,3601.0,3601.0,11.78,2026-07-27,2028-04-14
1557,Gjemnes,Molde,3596.0,3596.0,18.12,2026-07-22,2028-03-10
1560,Tingvoll,Molde,5373.0,5373.0,20.32,2026-07-14,2027-12-29
1563,Sunndal,Molde,7848.0,7848.0,53.02,2026-05-22,2027-02-12
1566,Surnadal,Molde,7330.0,7330.0,49.83,2026-06-12,2027-07-13
1573,Smøla,Molde,1964.0,0.0,0.0,2026-05-01,2026-06-03
1576,Aure,Molde,4577.0,4577.0,24.75,2026-07-06,2027-11-16
1577,Volda,Molde,7345.0,0.0,0.0,2026-05-01,2026-06-10
1578,Fjord,Molde,5931.0,5931.0,37.45,2026-12-16,2030-01-28
1579,Hustadvika,Molde,7743.0,7743.0,31.6,2026-06-25,2027-10-04
1580,Haram,Molde,4153.0,4153.0,14.55,2027-01-22,2030-07-04
1804,Bodø,Bodø,11982.0,11982.0,51.58,2026-09-23,2029-01-09
1806,Narvik,Bodø,12335.0,12335.0,83.72,2026-06-10,2027-07-06
1811,Bindal,Bodø,2467.0,2467.0,28.25,2027-01-04,2030-04-03
1812,Sømna,Bodø,1993.0,1993.0,8.9,2027-03-15,2031-01-09
1813,Brønnøy,Bodø,5124.0,5124.0,31.57,2026-12-07,2029-12-19
1815,Vega,Bodø,1249.0,1249.0,5.65,2027-03-24,2031-03-03
1816,Vevelstad,Bodø,1471.0,1471.0,13.07,2027-02-26,2030-11-26
1818,Herøy,Bodø,3933.0,3933.0,3.02,2027-03-29,2031-04-11
1820,Alstahaug,Bodø,3019.0,3019.0,10.18,2027-03-10,2031-01-07
1822,Leirfjord,Bodø,2506.0,2506.0,14.07,2027-08-24,2032-06-21
1824,Vefsn,Bodø,8559.0,8559.0,56.65,2026-08-31,2028-09-19
1825,Grane,Bodø,4468.0,4468.0,45.67,2026-11-05,2029-08-09
