KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
0301,Oslo,Oslo,Skien,True,30.63,35397.0,5,2026-10-15,20,2028-01-15
1101,Eigersund,Stavanger,Bodø,True,0.15,6942.0,5,2026-10-15,20,2028-01-15
1103,Stavanger,Stavanger,Kristiansand,True,15.98,13831.0,5,2026-10-15,20,2028-01-15
1106,Haugesund,Stavanger,Bergen,True,2.82,1601.0,5,2026-10-15,20,2028-01-15
1108,Sandnes,Stavanger,Stavanger,False,35.68,17326.0,5,2026-10-15,20,2028-01-15
1111,Sokndal,Stavanger,Kristiansand,True,0.06,2134.0,5,2026-10-15,20,2028-01-15
1112,Lund,Stavanger,Trondheim,True,0.1,2758.0,5,2026-10-15,20,2028-01-15
1114,Bjerkreim,Stavanger,Oslo,True,0.22,7158.0,5,2026-10-15,20,2028-01-15
1119,Hå,Stavanger,Bergen,True,14.53,6268.0,2,2026-07-15,8,2027-01-15
1120,Klepp,Stavanger,Molde,True,5.17,3414.0,5,2026-10-15,20,2028-01-15
1121,Time,Stavanger,Bodø,True,12.28,5798.0,4,2026-09-15,15,2027-08-15
1122,Gjesdal,Stavanger,Kristiansand,True,19.68,5779.0,1,2026-06-15,6,2026-11-15
1124,Sola,Stavanger,Oslo,True,3.7,2924.0,5,2026-10-15,20,2028-01-15
1127,Randaberg,Stavanger,Trondheim,True,1.5,1161.0,5,2026-10-15,20,2028-01-15
1130,Strand,Stavanger,Oslo,True,12.47,6598.0,3,2026-08-15,11,2027-04-15
1133,Hjelmeland,Stavanger,Molde,True,25.62,7360.0,3,2026-08-15,11,2027-04-15
1134,Suldal,Stavanger,Tromsø,True,38.55,9362.0,0,2026-05-15,0,2026-05-15
1135,Sauda,Stavanger,Bodø,True,12.13,4201.0,3,2026-08-15,11,2027-04-15
1144,Kvitsøy,Stavanger,Kristiansand,True,0.32,207.0,5,2026-10-15,20,2028-01-15
1145,Bokn,Stavanger,Skien,True,2.07,948.0,5,2026-10-15,20,2028-01-15
1146,Tysvær,Stavanger,Kristiansand,True,17.93,7926.0,5,2026-10-15,20,2028-01-15
1149,Karmøy,Stavanger,Trondheim,True,11.97,6834.0,5,2026-10-15,21,2028-02-15
1151,Utsira,Stavanger,Bergen,True,0.2,66.0,5,2026-10-15,21,2028-02-15
1160,Vindafjord,Stavanger,Oslo,True,25.1,8327.0,5,2026-10-15,21,2028-02-15
1505,Kristiansund,Molde,Bergen,True,4.33,2048.0,4,2026-09-15,15,2027-08-15
1506,Molde,Molde,Trondheim,True,19.37,9849.0,0,2026-05-15,0,2026-05-15
1508,Ålesund,Molde,Bodø,True,15.72,8749.0,0,2026-05-15,0,2026-05-15
1525,Stranda,Molde,Skien,True,17.03,3918.0,0,2026-05-15,0,2026-05-15
1528,Sykkylven,Molde,Hamar,True,9.0,2501.0,0,2026-05-15,0,2026-05-15
1535,Vestnes,Molde,Bergen,True,7.31,5719.0,0,2026-05-15,0,2026-05-15
1547,Aukra,Molde,Skien,True,1.12,900.0,2,2026-07-15,8,2027-01-15
1554,Averøy,Molde,Tromsø,True,7.85,3601.0,3,2026-08-15,11,2027-04-15
1557,Gjemnes,Molde,Oslo,True,12.08,3596.0,2,2026-07-15,8,2027-01-15
1560,Tingvoll,Molde,Tromsø,True,13.55,5373.0,4,2026-09-15,15,2027-08-15
1563,Sunndal,Molde,Oslo,True,35.35,7848.0,0,2026-05-15,0,2026-05-15
1566,Surnadal,Molde,Skien,True,33.22,7330.0,2,2026-07-15,8,2027-01-15
1576,Aure,Molde,Oslo,True,16.5,4577.0,3,2026-08-15,11,2027-04-15
1578,Fjord,Molde,Trondheim,True,24.97,5931.0,0,2026-05-15,1,2026-06-15
1579,Hustadvika,Molde,Trondheim,True,21.07,7743.0,1,2026-06-15,6,2026-11-15
1580,Haram,Molde,Bergen,True,9.7,4153.0,0,2026-05-15,1,2026-06-15
1804,Bodø,Bodø,Oslo,True,34.38,11982.0,3,2026-08-15,12,2027-05-15
1806,Narvik,Bodø,Tromsø,True,55.82,12335.0,1,2026-06-15,6,2026-11-15
1811,Bindal,Bodø,Skien,True,18.83,2467.0,2,2026-07-15,9,2027-02-15
1812,Sømna,Bodø,Bergen,True,5.93,1993.0,0,2026-05-15,1,2026-06-15
1813,Brønnøy,Bodø,Oslo,True,21.05,5124.0,1,2026-06-15,6,2026-11-15
1815,Vega,Bodø,Skien,True,3.77,1249.0,3,2026-08-15,12,2027-05-15
1816,Vevelstad,Bodø,Trondheim,True,8.72,1471.0,2,2026-07-15,9,2027-02-15
1818,Herøy,Bodø,Kristiansand,True,2.02,3933.0,5,2026-10-15,21,2028-02-15
1820,Alstahaug,Bodø,Kristiansand,True,6.78,3019.0,3,2026-08-15,12,2027-05-15
1822,Leirfjord,Bodø,Bergen,True,9.38,2506.0,2,2026-07-15,9,2027-02-15
1824,Vefsn,Bodø,Kristiansand,True,37.77,8559.0,0,2026-05-15,1,2026-06-15
1825,Grane,Bodø,Skien,True,30.45,4468.0,1,2026-06-15,6,2026-11-15
1826,Aarborte - Hattfjelldal,Bodø,Skien,True,39.02,4610.0,0,2026-05-15,1,2026-06-15
1827,Dønna,Bodø,Tromsø,True,4.67,1732.0,3,2026-08-15,12,2027-05-15
1828,Nesna,Bodø,Tromsø,True,5.08,1141.0,2,2026-07-15,9,2027-02-15
1832,Hemnes,Bodø,Kristiansand,True,28.6,4516.0,1,2026-06-15,6,2026-11-15
1833,Rana,Bodø,Tromsø,True,72.92,10959.0,1,2026-06-15,7,2026-12-15
1834,Lurøy,Bodø,Skien,True,5.77,1485.0,3,2026-08-15,12,2027-05-15
1835,Træna,Bodø,Stavanger,True,0.33,88.0,4,2026-09-15,15,2027-08-15
1836,Rødøy,Bodø,Tromsø,True,10.95,1257.0,2,2026-07-15,9,2027-02-15
1837,Meløy,Bodø,Hamar,True,17.47,4215.0,1,2026-06-15,7,2026-12-15
