Kommmune navn,sum objekter
Oppdal,37049
Oslo,35397
Lindesnes,30608
Bergen,30466
Tromsø,27947
Kristiansand,27939
Alver,27783
Ringerike,27311
Voss,23191
Sunnfjord,22959
Orkland,21540
Trondheim,20525
Larvik,20251
Kautokeino,19267
Kongsberg,18936
Ullensvang,18650
Ringebu,18435
Arendal,18178
Senja,17646
Alta,17457
Sandnes,17326
Sigdal,17054
Asker,16870
Harstad,16861
Ål,16194
Trysil,16189
Steinkjer,15485
Indre Østfold,15270
Hol,14988
Målselv,14811
Sel,14777
Fredrikstad,14235
Stavanger,13831
Stjørdal,13808
Sandefjord,13753
Midtre Gauldal,13652
Stor-Elvdal,13617
Lyngdal,13449
Tinn,13385
Nore og Uvdal,13281
Sør-Aurdal,13249
Sarpsborg,13048
Balsfjord,13047
Nord-Aurdal,13002
Stad,12853
Ringsaker,12701
Nordre Land,12435
Vinje,12380
Narvik,12335
Levanger,12304
Gausdal,12287
Nord-Fron,12207
Bodø,11982
Rendalen,11980
Drammen,11937
Halden,11913
Røros,11912
Kvam,11908
Vestre Slidre,11716
Elverum,11666
Skien,11644
Øygarden,11226
Nesbyen,11185
Aurskog-Høland,10975
Rana,10959
Lillestrøm,10677
Modum,10613
Lillehammer,10606
Birkenes,10577
Alvdal,10557
Vennesla,10530
Tynset,10498
Bjørnafjorden,10297
Bærum,10234
Kongsvinger,10212
Vågå,10194
Kvinesdal,10186
Etne,10118
Øyer,10070
Tønsberg,10065
Flesberg,10021
Heim,10013
Flekkefjord,10002
Tydal,9999
Seljord,9972
Indre Fosen,9918
Molde,9849
Verdal,9686
Sogndal,9640
Gol,9600
Drangedal,9597
Porsanger,9568
Kinn,9385
Suldal,9362
Tana,9359
Midt-Telemark,9207
Åmot,9088
Rennebu,9074
Namsos,9057
Notodden,8977
Osterøy,8960
Kvinnherad,8939
Gran,8906
Våler,8900
Tvedestrand,8806
Hitra,8759
Ålesund,8749
Holmestrand,8664
Karasjok,8565
Tolga,8559
Vefsn,8559
Vegårshei,8548
Folldal,8494
Åfjord,8387
Sveio,8328
Vindafjord,8327
Åmli,8190
Vang,8187
Hjartdal,8171
Farsund,8160
Kragerø,8153
Sirdal,8126
Hemsedal,8110
Dovre,8098
Tjeldsund,8058
Øystre Slidre,7995
Tysvær,7926
Sør-Fron,7916
Gjøvik,7897
Nærøysund,7867
Sunndal,7848
Gloppen,7841
Andøy,7827
Nes,7813
Stange,7796
Krødsherad,7775
Evje og Hornnes,7758
Rollag,7744
Hustadvika,7743
Melhus,7720
Søndre Land,7653
Ørsta,7613
Bygland,7574
Tysnes,7572
Rauma,7546
Risør,7458
Stryn,7377
Hjelmeland,7360
Porsgrunn,7351
Volda,7345
Surnadal,7330
Inderøy,7306
Bjerkreim,7158
Valle,7136
Meråker,7116
Sør-Varanger,7082
Nordre Follo,6990
Eigersund,6942
Flå,6856
Karmøy,6834
Bømlo,6759
Lier,6724
Hammerfest,6601
Strand,6598
Moss,6581
Nissedal,6540
Engerdal,6538
Grimstad,6512
Bardu,6502
Lesja,6501
Øvre Eiker,6486
Tokke,6401
Holtålen,6292
Etnedal,6276
Hå,6268
Lom,6259
Froland,6254
Luster,6200
Lillesand,6111
Selbu,6104
Frøya,6058
Fjord,5931
Bamble,5868
Snåsa,5861
Kvæfjord,5849
Fauske,5814
Time,5798
Gjesdal,5779
Sør-Odal,5776
Vestnes,5719
Eidsvoll,5707
Kviteseid,5611
Lunner,5579
Åseral,5558
Åsnes,5531
Eidskog,5440
Tingvoll,5373
Nittedal,5357
Karlsøy,5355
Ullensaker,5340
Gjerstad,5328
Stord,5301
Hægebostad,5244
Askøy,5218
Vadsø,5170
