KomNr,Status,Oppgave,%
1511,Ferdig,Kvalitetsheving av traktorveger og stier,100
1514,Ferdig,Kvalitetsheving av traktorveger og stier,100
1515,Ferdig,Kvalitetsheving av traktorveger og stier,100
1516,Ferdig,Kvalitetsheving av traktorveger og stier,100
1517,Ferdig,Kvalitetsheving av traktorveger og stier,100
1520,Ferdig,Kvalitetsheving av traktorveger og stier,100
1531,Ferdig,Kvalitetsheving av traktorveger og stier,100
1532,Ferdig,Kvalitetsheving av traktorveger og stier,100
1539,Ferdig,Kvalitetsheving av traktorveger og stier,100
1573,Ferdig,Kvalitetsheving av traktorveger og stier,100
1577,Ferdig,Kvalitetsheving av traktorveger og stier,100
1868,Ferdig,Kvalitetsheving av traktorveger og stier,100
3101,Ferdig,Kvalitetsheving av traktorveger og stier,100
3112,Ferdig,Kvalitetsheving av traktorveger og stier,100
3122,Ferdig,Kvalitetsheving av traktorveger og stier,100
3124,Ferdig,Kvalitetsheving av traktorveger og stier,100
3207,Ferdig,Kvalitetsheving av traktorveger og stier,100
3212,Ferdig,Kvalitetsheving av traktorveger og stier,100
3214,Ferdig,Kvalitetsheving av traktorveger og stier,100
3216,Ferdig,Kvalitetsheving av traktorveger og stier,100
3218,Ferdig,Kvalitetsheving av traktorveger og stier,100
3220,Ferdig,Kvalitetsheving av traktorveger og stier,100
3224,Ferdig,Kvalitetsheving av traktorveger og stier,100
3230,Ferdig,Kvalitetsheving av traktorveger og stier,100
3234,Ferdig,Kvalitetsheving av traktorveger og stier,100
3236,Ferdig,Kvalitetsheving av traktorveger og stier,100
3238,Ferdig,Kvalitetsheving av traktorveger og stier,100
3240,Ferdig,Kvalitetsheving av traktorveger og stier,100
3242,Ferdig,Kvalitetsheving av traktorveger og stier,100
3310,Ferdig,Kvalitetsheving av traktorveger og stier,100
3318,Ferdig,Kvalitetsheving av traktorveger og stier,100
3334,Ferdig,Kvalitetsheving av traktorveger og stier,100
3414,Ferdig,Kvalitetsheving av traktorveger og stier,100
3415,Ferdig,Kvalitetsheving av traktorveger og stier,100
3416,Ferdig,Kvalitetsheving av traktorveger og stier,100
3417,Ferdig,Kvalitetsheving av traktorveger og stier,100
3418,Ferdig,Kvalitetsheving av traktorveger og stier,100
4020,Ferdig,Kvalitetsheving av traktorveger og stier,100
4226,Ferdig,Kvalitetsheving av traktorveger og stier,100
4615,Ferdig,Kvalitetsheving av traktorveger og stier,100
4616,Ferdig,Kvalitetsheving av traktorveger og stier,100
4625,Ferdig,Kvalitetsheving av traktorveger og stier,100
4629,Ferdig,Kvalitetsheving av traktorveger og stier,100
4633,Ferdig,Kvalitetsheving av traktorveger og stier,100
5006,Ferdig,Kvalitetsheving av traktorveger og stier,100
5007,Ferdig,Kvalitetsheving av traktorveger og stier,100
5014,Ferdig,Kvalitetsheving av traktorveger og stier,100
5020,Ferdig,Kvalitetsheving av traktorveger og stier,100
5022,Ferdig,Kvalitetsheving av traktorveger og stier,100
5031,Ferdig,Kvalitetsheving av traktorveger og stier,100
5036,Ferdig,Kvalitetsheving av traktorveger og stier,100
5037,Ferdig,Kvalitetsheving av traktorveger og stier,100
5052,Ferdig,Kvalitetsheving av traktorveger og stier,100
5057,Ferdig,Kvalitetsheving av traktorveger og stier,100
5510,Ferdig,Kvalitetsheving av traktorveger og stier,100
5538,Ferdig,Kvalitetsheving av traktorveger og stier,100
5540,Ferdig,Kvalitetsheving av traktorveger og stier,100
5626,Ferdig,Kvalitetsheving av traktorveger og stier,100
5630,Ferdig,Kvalitetsheving av traktorveger og stier,100
5632,Ferdig,Kvalitetsheving av traktorveger og stier,100
5634,Ferdig,Kvalitetsheving av traktorveger og stier,100
1101,Påbegynt,Kvalitetsheving av traktorveger og stier,99
1111,Påbegynt,Kvalitetsheving av traktorveger og stier,99
1112,Påbegynt,Kvalitetsheving av traktorveger og stier,99
1114,Påbegynt,Kvalitetsheving av traktorveger og stier,99
3120,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3401,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3403,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3411,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3412,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3413,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3419,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3420,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3421,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3423,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3425,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3426,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3429,Påbegynt,Kvalitetsheving av traktorveger og stier,95
3430,Påbegynt,Kvalitetsheving av traktorveger og stier,95
4211,Påbegynt,Kvalitetsheving av traktorveger og stier,95
4214,Påbegynt,Kvalitetsheving av traktorveger og stier,95
4223,Påbegynt,Kvalitetsheving av traktorveger og stier,90
5524,Påbegynt,Kvalitetsheving av traktorveger og stier,90
5528,Påbegynt,Kvalitetsheving av traktorveger og stier,90
5532,Påbegynt,Kvalitetsheving av traktorveger og stier,90
5542,Påbegynt,Kvalitetsheving av traktorveger og stier,90
3116,Påbegynt,Kvalitetsheving av traktorveger og stier,80
3201,Påbegynt,Kvalitetsheving av traktorveger og stier,80
4218,Påbegynt,Kvalitetsheving av traktorveger og stier,80
4613,Påbegynt,Kvalitetsheving av traktorveger og stier,70
1506,Påbegynt,Kvalitetsheving av traktorveger og stier,50
1535,Påbegynt,Kvalitetsheving av traktorveger og stier,50
1547,Påbegynt,Kvalitetsheving av traktorveger og stier,50
3336,Påbegynt,Kvalitetsheving av traktorveger og stier,35
1867,Påbegynt,Kvalitetsheving av traktorveger og stier,25
4644,Påbegynt,Kvalitetsheving av traktorveger og stier,25
5038,Påbegynt,Kvalitetsheving av traktorveger og stier,25
3330,Påbegynt,Kvalitetsheving av traktorveger og stier,20
5601,Påbegynt,Kvalitetsheving av traktorveger og stier,4
5049,Påbegynt,Kvalitetsheving av traktorveger og stier,2
3312,Ikke påbegynt,Kvalitetsheving av traktorveger og stier,0
